OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,Facility_W,Production,Producti_1,State_FIPS,County_FIP,State_Coun,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Unnamed__0,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,B03001_027,malePop,femalePop,lessHighSc,highSchl,someUni,uniBach,uniGrad,incBelowPo,incLessHal,unemployed,miningOGJo,state,county,tract,blockGroup,menHealthC,womenHealt,disabledPo,GEOID_y,geoid_form,ObjectID_1,AFFGEOID_C,fipstate_2,fipscty_20,geoid_cty_,county_nam,state_name,MSA_area_I,MSA_area_n,ffe_ind_qu,ec_ind_qua,msa_qual,FEE_qual_s,EC_qual_st,Label_FEE,Label_EC,MSA_NMSA_L,date_last_,dataset_ve,date_recor,Shape_Leng,AFFGEOID_T,fipcounty_,geoid_coun,fiptract_2,geoid_trac,Mine_Qual,Generator_,Neighbor_Q,CensusTrac,Mine_Closu,Generator1,Adjacent_t,Tract_Stat,record_add,Symbol
1,1,2,3002,C,Arkema - Calvert City manufacturing plant,Electrode materials,Binders,arkema.com,4444 Industrial Parkway,Calvert City,KY,42029,270-395-7121,37.04977614,-88.36625269,37.04977614,-88.36625269,252,0, ,21,157,21157,21,157,950101,2,211579501012,1500000US211579501012,Block Group 2,G5030,S,41751634,3771866,+37.0302297,-088.3823132,1,"Block Group 2; Census Tract 9501.01; Marshall County; Kentucky""",1457,1386,0,0,0,3,0,0,622,835,0,0,0,0,0,0,152,0,0,21,157,950101,2,0,0,0,2.1158E+15,211579501012,471,0500000US21157,21,157,21157,Marshall County,Kentucky,2100001,West Kentucky nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",West Kentucky non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,1.208499608,,,,,,,,,,,,,,,
2,1,3,3003,C,Arkema - Bostik Adhesives,Electrode materials,Adhesives,arkema.com,1301 N. 113th St,Wauwatosa,WI,53226,414-774-2250,43.04609643,-88.05493813,43.04609643,-88.05493813, ,0, ,55,079,55079,55,079,185300,1,550791853001,1500000US550791853001,Block Group 1,G5030,S,5977906,0,+43.0491800,-088.0383893,813,"Block Group 1; Census Tract 1853; Milwaukee County; Wisconsin""",2146,1426,230,1,369,0,0,0,1047,1099,0,0,0,0,0,0,183,0,0,55,079,185300,1,0,0,0,5.50792E+15,550791853001,,,55,,,Milwaukee County,Wisconsin,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.140163378,1400000US55079185300,079,55079,185300,55079185300,0,1,0,Census Tract 1853,No,Yes,No,is an energy community due to a coal-fired electric generating unit retirement,2023-03-28 0:00:00,Census tract with a coal closure
3,1,5,3006,C,Birla Carbon,Electrode materials,Conductive Carbon black,https://www.birlacarbon.com/,370 Columbian Chemicals Lane,Centerville,LA,70522,337-836-5641,29.68202822,-91.45638467,29.68202822,-91.45638467,150,0, ,22,101,22101,22,101,040900,2,221010409002,1500000US221010409002,Block Group 2,G5030,S,402741807,757936322,+29.5608138,-091.4619429,28,"Block Group 2; Census Tract 409; St. Mary Parish; Louisiana""",1131,781,312,7,0,0,0,0,682,449,0,0,0,0,0,0,154,0,0,22,101,040900,2,0,0,0,2.2101E+15,221010409002,556,0500000US22101,22,101,22101,St. Mary Parish,Louisiana,2200006,Southwest Louisiana nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",Southwest Louisiana non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.792115171,,,,,,,,,,,,,,,
4,1,7,3008,PC-SU,Battery Innovation Center,Electrolyte,Polymer Electrolyte,brightvolt.com,7970 S Energy Dr.,Newberry,IN,47449,812-863-2424,39.0322,-86.9824,38.90447182,-86.91931656,16,0, ,18,055,18055,18,055,955300,2,180559553002,1500000US180559553002,Block Group 2,G5030,S,82881456,917373,+38.9310261,-086.9679073,24,"Block Group 2; Census Tract 9553; Greene County; Indiana""",484,452,0,0,0,0,0,0,239,245,0,0,0,0,0,0,17,0,0,18,055,955300,2,0,0,0,1.8056E+15,180559553002,,,18,,,Greene County,Indiana,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,1.197469271,1400000US18055955300,055,18055,955300,18055955300,1,0,1,Census Tract 9553,Yes,No,Yes,is an energy community due to a coal mine closure,2023-03-28 0:00:00,Census tract with a coal closure
5,1,8,3009,C,Cabot Pampa,Electrode materials,Additives,cabotcorp.com,11561 US Hwy 60,Pampa,TX,79065,806-661-3100,35.51023845,-101.0143966,35.51023845,-101.0143966,100,0, ,48,179,48179,48,179,950100,2,481799501002,1500000US481799501002,Block Group 2,G5030,S,505869384,1240911,+35.4055250,-101.0273729,1,"Block Group 2; Census Tract 9501; Gray County; Texas""",833,801,0,4,0,0,0,0,361,472,0,0,0,0,0,0,16,0,0,48,179,950100,2,0,0,0,4.818E+15,481799501002,1202,0500000US48179,48,179,48179,Gray County,Texas,4800001,West Texas Region of Texas nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",West Texas Region of Texas non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,1.96698944,,,,,,,,,,,,,,,
6,1,19,3020,P,Enchem Michigan Electrolyte Manufacturing Plant,Electrolyte,Liquid electrolyte,enchem.net, , ,MI,0, ,44.53773305,-85.66378322,44.53773305,-85.66378322, ,60000,MT/yr,26,055,26055,26,055,550300,3,260555503003,1500000US260555503003,Block Group 3,G5030,S,101986049,315106,+44.5457678,-085.6290684,13,"Block Group 3; Census Tract 5503; Grand Traverse County; Michigan""",2153,2050,11,3,12,0,0,0,1167,986,0,0,0,0,0,0,166,0,0,26,055,550300,3,0,0,0,2.60556E+15,260555503003,597,0500000US26055,26,055,26055,Grand Traverse County,Michigan,2600003,Northwest Lower Peninsula of Michigan nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",Northwest Lower Peninsula of Michigan non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.095337864,,,,,,,,,,,,,,,
7,1,22,3023,P,Enchem Ohio Electrolyte Manufacturing Plant,Electrolyte,Liquid electrolyte,enchem.net, , ,OH,0, ,41.07713703,-82.72176545,41.07713703,-82.72176545, ,20000,MT/yr,39,077,39077,39,077,916200,1,390779162001,1500000US390779162001,Block Group 1,G5030,S,3787544,25282,+41.0709272,-082.7308080,29,"Block Group 1; Census Tract 9162; Huron County; Ohio""",1010,890,0,0,60,0,0,0,457,553,0,0,0,0,0,0,77,0,0,39,077,916200,1,0,0,0,3.90779E+15,390779162001,919,0500000US39077,39,077,39077,Huron County,Ohio,3900002,North Northeastern Ohio nonmetropolitan area (noncontiguous),1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",North Northeastern Ohio non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,1.58161196,,,,,,,,,,,,,,,
8,1,24,3026,P,ENTEK US Lithium Separator Manufacturing Plant Phase II,Separators,Separators,Entek.com, ,Terre Haute,IN,0, ,39.48030782,-87.41179189,39.48030782,-87.41179189,640,1.8,billion sq m,18,167,18167,18,167,000300,2,181670003002,1500000US181670003002,Block Group 2,G5030,S,1750192,0,+39.4786244,-087.4156094,1,"Block Group 2; Census Tract 3; Vigo County; Indiana""",993,835,116,0,11,0,0,0,337,656,0,0,0,0,0,0,273,0,0,18,167,000300,2,0,0,0,1.8167E+15,181670003002,,,18,,,Vigo County,Indiana,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.08636793,1400000US18167000300,167,18167,000300,18167000300,0,0,1,Census Tract 3,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
9,1,27,3029,C,Conroe Plant,Electrode materials,Solvents,huntsman.com,5451 Jefferson Chemical Road,Conroe,TX,77301,281-719-6000,30.31385807,-95.38850785,30.31385807,-95.38850785,175,36287,MT/yr,48,339,48339,48,339,693002,2,483396930022,1500000US483396930022,Block Group 2,G5030,S,13380984,48130,+30.3012290,-095.3759326,218,"Block Group 2; Census Tract 6930.02; Montgomery County; Texas""",2241,2151,0,0,90,0,0,0,1014,1227,0,0,0,0,0,0,0,0,0,48,339,693002,2,0,0,0,4.83397E+15,483396930022,1280,0500000US48339,48,339,48339,Montgomery County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement","Houston-The Woodlands-Sugar Land, TX metropolitan statistical area (MSA)",2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.68906934,,,,,,,,,,,,,,,
10,1,29,3031,P,Simpson County CNT Plant,Electrode materials,Carbon nanotube dispersent,liochem.toyoink.com,310 Ronnie Clark Drive,Franklin,KY,0, ,36.72182407,-86.57789379,36.72182407,-86.57789379,141,0, ,21,213,21213,21,213,970401,1,212139704011,1500000US212139704011,Block Group 1,G5030,S,6262804,10405,+36.7011941,-086.5829264,9,"Block Group 1; Census Tract 9704.01; Simpson County; Kentucky""",2264,1985,146,0,37,0,0,0,1175,1089,0,0,0,0,0,0,116,0,0,21,213,970401,1,0,0,0,2.1214E+15,212139704011,495,0500000US21213,21,213,21213,Simpson County,Kentucky,2100002,South Central Kentucky nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",South Central Kentucky non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,1.116860426,,,,,,,,,,,,,,,
