OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,Facility_W,Production,Producti_1,State_FIPS,County_FIP,State_Coun,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Unnamed__0,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,B03001_027,malePop,femalePop,lessHighSc,highSchl,someUni,uniBach,uniGrad,incBelowPo,incLessHal,unemployed,miningOGJo,state,county,tract,blockGroup,menHealthC,womenHealt,disabledPo,GEOID_y,geoid_form,P_D2_PM25,P_D2_OZONE,P_D2_DSLPM,P_D2_CANCER,P_D2_RESP,P_D2_RSEI_AIR,P_D2_PTRAF,P_D2_LDPNT,P_D2_PNPL,P_D2_PRMP,P_D2_PTSDF,P_D2_UST,P_D2_PWDIS,P_D5_PM25,P_D5_OZONE,P_D5_DSLPM,P_D5_CANCER,P_D5_RESP,P_D5_RSEI_AIR,P_D5_PTRAF,P_D5_LDPNT,P_D5_PNPL,P_D5_PRMP,P_D5_PTSDF,P_D5_UST,P_D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,EXCEED_COUNT_80_SUP,T_D2_PM25,T_D2_OZONE,T_D2_DSLPM,T_D2_CANCER,T_D2_RESP,T_D2_RSEI_AIR,T_D2_PTRAF,T_D2_LDPNT,T_D2_PNPL,T_D2_PRMP,T_D2_PTSDF,T_D2_UST,T_D2_PWDIS,T_D5_PM25,T_D5_OZONE,T_D5_DSLPM,T_D5_CANCER,T_D5_RESP,T_D5_RSEI_AIR,T_D5_PTRAF,T_D5_LDPNT,T_D5_PNPL,T_D5_PRMP,T_D5_PTSDF,T_D5_UST,T_D5_PWDIS,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_OZONE,T_DSLPM,T_CANCER,T_RESP,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,ID_1,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED_1,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_CANCER,B_RESP,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_CANCER,B_D5_CANCER,B_D2_RESP,B_D5_RESP,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,T_PM25,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,SYMBOLOGY_EXCEED_COUNT_80,EXCEED_COUNT_90,EXCEED_COUNT_90_SUP
1,1,1,3001,PC-SU,Aqualith,Electrolyte,Aqueous electrolyte,https://www.aqualith.net/,4467 Technology Dr College Park,College Park,MD,20742,240-751-0567,38.99270531,-76.93853155,38.99270531,-76.93853155,2,0, ,24,033,24033,24,033,980000,1,240339800001,1500000US240339800001,Block Group 1,G5030,S,5357616,30777,+38.9936953,-076.9445325,537,"Block Group 1; Census Tract 9800; Prince George's County; Maryland""",14109,7912,3336,0,1612,0,0,0,6983,7126,0,0,0,0,0,0,1919,0,0,24,033,980000,1,0,0,0,2.4034E+15,240339800001,77,91,89,87,90,69,77,82,90,75,89,80,91,79,94,92,90,93,69,81,82,92,76,92,82,93,83,87,63,96,65,73,58,0,3,,47,82,78,52,70,35,53,54,78,46,79,56,80,10,77 %ile,91 %ile,89 %ile,87 %ile,90 %ile,69 %ile,77 %ile,82 %ile,90 %ile,75 %ile,89 %ile,80 %ile,91 %ile,79 %ile,94 %ile,92 %ile,90 %ile,93 %ile,69 %ile,81 %ile,82 %ile,92 %ile,76 %ile,92 %ile,82 %ile,93 %ile,83 %ile,87 %ile,63 %ile,96 %ile,65 %ile,73 %ile,58 %ile,0 %ile,3 %ile,,82 %ile,78 %ile,52 %ile,70 %ile,35 %ile,53 %ile,54 %ile,78 %ile,46 %ile,79 %ile,56 %ile,80 %ile,240339800001,Maryland,MD,Prince George's County,3,14471,3633,760,1064,1370,4403,0.610440629,0.24247899,6606,0.456499205,2777,0.764382053,271,0.061548944,44,0.041353383,78,0.102631579,66,0.004560846,210,0.014511782,,8.098561096,66.41848,0.360858758,30,0.4,244.3729494,88.02769264,354,0.258394161,0.147461085,0.151567897,2.754277889,1.701475819,0.067937128,28.69070956,11.39651253,50.05613158,19.88327718,47.61436906,18.91336122,31.74291271,12.60890748,42.73084403,16.9735293,21.36542202,8.48676465,32.35335334,12.85138647,32.96379397,13.09386546,47.61436906,18.91336122,28.08026893,11.15403354,48.22480969,19.15584021,34.18467522,13.57882344,48.83525032,19.3983192,9,9,7,11,7,8,6,1,1,,5,9,8,6,8,4,6,6,8,5,8,6,9,8,8,10,10,9,10,9,10,10,10,7,7,8,9,9,9,10,10,8,8,9,10,9,9,10,10,47 %ile,5357616,30777,0,1,9,1-13 EJ Indexes over 80th %tile,4,7
2,1,9,3010,C,"Celgard, LLC - Charlotte Manufacturing Facility",Separators,Separators,celgard.com,13800 South Lakes Dr,Charlotte,NC,28273,704-588-5310,35.10886758,-80.96142875,35.10886758,-80.96142875, ,150,million sq m/yr,37,119,37119,37,119,005932,1,371190059321,1500000US371190059321,Block Group 1,G5030,S,2566943,18342,+35.1107943,-080.9591056,535,"Block Group 1; Census Tract 59.32; Mecklenburg County; North Carolina""",2448,659,797,0,549,0,0,0,1030,1418,0,0,0,0,0,0,31,0,0,37,119,005932,1,0,0,0,3.7119E+15,371190059321,83,88,80,95,90,90,76,0,71,88,81,64,86,62,72,63,81,79,73,57,0,48,70,63,40,65,71,32,80,34,67,78,47,83,8,,77,94,75,94,92,98,68,0,51,97,79,41,83,1,83 %ile,88 %ile,80 %ile,95 %ile,90 %ile,90 %ile,76 %ile,0 %ile,71 %ile,88 %ile,81 %ile,64 %ile,86 %ile,62 %ile,72 %ile,63 %ile,81 %ile,79 %ile,73 %ile,57 %ile,0 %ile,48 %ile,70 %ile,63 %ile,40 %ile,65 %ile,71 %ile,32 %ile,80 %ile,34 %ile,67 %ile,78 %ile,47 %ile,83 %ile,8 %ile,,94 %ile,75 %ile,94 %ile,92 %ile,98 %ile,68 %ile,0 %ile,51 %ile,97 %ile,79 %ile,41 %ile,83 %ile,371190059321,North Carolina,NC,Mecklenburg County,4,2633,2633,1739,960,996,1619,0.463539689,0.096336362,1954,0.742119256,487,0.184960122,105,0.064854849,60,0.0625,127,0.073030477,250,0.094948728,121,0.045955184,,9.190284384,70.37337,0.336882822,40,0.5,37245.18801,155.7232914,0,0,0.061875576,2.460944179,2.77625791,0.617420806,0.122055059,35.69255605,7.417899874,43.57273077,9.055618028,34.76547668,7.22522715,43.57273077,9.055618028,42.64565139,8.862945304,45.42688952,9.440963476,31.52069885,6.550872616,0,0,23.64052414,4.913154462,44.96334983,9.344627114,36.61963543,7.610572598,19.00512725,3.949790842,38.47379419,7.995918046,8,4,9,4,7,8,5,9,1,,8,10,8,10,10,11,7,1,6,11,8,5,9,9,7,9,8,9,7,11,9,10,8,10,8,8,6,1,1,8,5,9,8,9,7,7,5,9,7,77 %ile,2566943,18342,0,0,9,1-13 EJ Indexes over 80th %tile,3,0
3,1,11,3012,C,Ivanhoe Road Plant,Electrolyte,Liquid electrolyte,currentchemicals.com,1099 Ivanhoe Road,Cleveland,OH,44110,216-570-3873,41.5516,-81.569,41.5516,-81.569, ,0, ,39,035,39035,39,035,117500,2,390351175002,1500000US390351175002,Block Group 2,G5030,S,971488,0,+41.5523422,-081.5683428,202,"Block Group 2; Census Tract 1175; Cuyahoga County; Ohio""",1317,100,959,9,0,0,0,0,641,676,0,0,0,0,0,0,119,0,0,39,035,117500,2,0,0,0,3.90351E+15,390351175002,97,98,97,53,82,98,79,99,57,62,99,98,93,97,98,97,51,83,98,83,99,55,60,99,98,94,98,97,91,97,98,0,94,79,26,94,77,82,79,5,31,79,40,88,17,21,96,86,60,10,97 %ile,98 %ile,97 %ile,53 %ile,82 %ile,98 %ile,79 %ile,99 %ile,57 %ile,62 %ile,99 %ile,98 %ile,93 %ile,97 %ile,98 %ile,97 %ile,51 %ile,83 %ile,98 %ile,83 %ile,99 %ile,55 %ile,60 %ile,99 %ile,98 %ile,94 %ile,98 %ile,97 %ile,91 %ile,97 %ile,98 %ile,0 %ile,94 %ile,79 %ile,26 %ile,94 %ile,82 %ile,79 %ile,5 %ile,31 %ile,79 %ile,40 %ile,88 %ile,17 %ile,21 %ile,96 %ile,86 %ile,60 %ile,390351175002,Ohio,OH,Cuyahoga County,5,1320,1320,817,703,868,583,0.86969697,0.338731856,1228,0.93030303,1068,0.809090909,157,0.269296741,0,0,289,0.35373317,114,0.086363636,132,0.1,0.261538462,9.199634247,66.38863,0.364086994,20,0.3,3021.305781,50.96065716,645,0.743087558,0.019388045,0.079516894,10.72448516,8.272691897,0.00396628,66.96666669,26.08235291,71.31515154,27.77601219,68.70606063,26.75981662,4.34848485,1.69365928,26.96060607,10.50068754,68.70606063,26.75981662,34.7878788,13.54927424,76.53333336,29.80840333,14.78484849,5.758441552,18.26363637,7.113368976,83.49090912,32.51825818,74.79393942,29.13093962,52.1818182,20.32391136,11,11,10,11,11,1,10,8,3,10,8,9,8,1,4,8,5,9,2,3,11,9,7,11,11,11,11,11,11,6,6,9,9,11,11,8,9,11,11,6,6,7,7,11,11,11,11,10,10,77 %ile,971488,0,0,2,9,1-13 EJ Indexes over 80th %tile,8,8
4,1,13,3014,C,Denkai America Inc. Manufacturing Headquarters,Electrode materials,Copper,denkaiamerica.com,29 Battleship Road Ext.,Camden,SC,29020,803-425-7900,34.24521358,-80.6371729,34.24521358,-80.6371729,75,4000,MT/yr,45,055,45055,45,055,970800,4,450559708004,1500000US450559708004,Block Group 4,G5030,S,8770790,456517,+34.2368826,-080.6231536,33,"Block Group 4; Census Tract 9708; Kershaw County; South Carolina""",987,120,814,0,0,0,0,0,376,611,0,0,0,0,0,0,46,0,0,45,055,970800,4,0,0,0,4.5056E+15,450559708004,83,90,80,95,97,86,90,85,78,61,90,96,96,76,86,74,90,93,79,84,76,71,49,85,91,91,97,88,91,96,93,0,54,0,85,73,42,56,40,52,70,45,58,45,36,21,59,76,72,7,83 %ile,90 %ile,80 %ile,95 %ile,97 %ile,86 %ile,90 %ile,85 %ile,78 %ile,61 %ile,90 %ile,96 %ile,96 %ile,76 %ile,86 %ile,74 %ile,90 %ile,93 %ile,79 %ile,84 %ile,76 %ile,71 %ile,49 %ile,85 %ile,91 %ile,91 %ile,97 %ile,88 %ile,91 %ile,96 %ile,93 %ile,0 %ile,54 %ile,0 %ile,85 %ile,73 %ile,56 %ile,40 %ile,52 %ile,70 %ile,45 %ile,58 %ile,45 %ile,36 %ile,21 %ile,59 %ile,76 %ile,72 %ile,450559708004,South Carolina,SC,Kershaw County,4,720,720,449,361,441,362,0.848611111,0.247433559,674,0.936111111,548,0.761111111,61,0.168508287,0,0,40,0.08908686,0,0,195,0.270833333,0.218461538,7.900045205,61.84367,0.182082982,30,0.4,474.4689884,106.911681,76,0.172335601,0.040452843,0.078400714,0.880778856,4.703180617,0.01701655,35.64166666,10.39220948,47.52222222,13.8562793,33.94444444,9.89734236,44.12777777,12.86654507,59.40277777,17.32034913,38.1875,11.13451016,49.21944444,14.35114642,38.1875,11.13451016,30.55,8.907608124,17.82083333,5.196104739,50.06805555,14.59857998,64.49444444,18.80495048,61.09999999,17.81521625,11,9,10,11,10,1,6,1,9,8,5,6,5,6,8,5,6,5,4,3,6,8,8,9,8,10,9,9,8,11,10,11,10,9,8,10,9,9,8,8,8,7,5,10,9,11,10,11,10,42 %ile,8770790,456517,0,1,11,1-13 EJ Indexes over 80th %tile,7,4
5,1,16,3017,C,DuPont Various,Electrode materials,Additives,dupont.com,974 Centre Rd,Wilmington,DE,19805,302-774-1000,39.75563299,-75.60507493,39.75563299,-75.60507493, ,0, ,10,003,10003,10,003,012200,2,100030122002,1500000US100030122002,Block Group 2,G5030,S,1526813,0,+39.7522097,-075.6002972,149,"Block Group 2; Census Tract 122; New Castle County; Delaware""",736,176,361,49,0,0,0,0,397,339,0,0,0,0,0,0,125,0,0,10,003,012200,2,0,0,0,1.0003E+15,100030122002,82,93,85,89,75,93,80,84,94,76,93,88,94,79,92,84,88,71,91,78,79,92,71,91,86,92,88,84,89,73,85,90,80,93,15,70,52,80,62,52,31,78,53,54,85,44,85,70,81,8,82 %ile,93 %ile,85 %ile,89 %ile,75 %ile,93 %ile,80 %ile,84 %ile,94 %ile,76 %ile,93 %ile,88 %ile,94 %ile,79 %ile,92 %ile,84 %ile,88 %ile,71 %ile,91 %ile,78 %ile,79 %ile,92 %ile,71 %ile,91 %ile,86 %ile,92 %ile,88 %ile,84 %ile,89 %ile,73 %ile,85 %ile,90 %ile,80 %ile,93 %ile,15 %ile,70 %ile,80 %ile,62 %ile,52 %ile,31 %ile,78 %ile,53 %ile,54 %ile,85 %ile,44 %ile,85 %ile,70 %ile,81 %ile,100030122002,Delaware,DE,New Castle County,3,1013,978,602,446,446,534,0.667833502,0.221667377,918,0.906219151,420,0.429447853,62,0.116104869,69,0.15470852,116,0.19269103,131,0.129318855,72,0.071076012,0.215384615,8.276723014,65.99181,0.268309876,30,0.3,2747.160413,86.23314137,116,0.260089686,0.196022077,0.147026299,3.857884461,3.502365737,0.078679127,34.7273421,11.5267036,53.42668016,17.73339016,41.40567712,13.74337737,34.7273421,11.5267036,20.70283856,6.871688687,52.09101316,17.29005541,35.39517561,11.74837098,36.06300911,11.97003836,56.76584767,18.84172705,29.38467409,9.753364588,56.76584767,18.84172705,46.74834514,15.51671639,54.09451366,17.95505754,9,9,9,8,9,10,9,10,2,8,6,9,7,6,4,8,6,6,9,5,9,8,9,9,8,10,10,9,9,9,9,8,8,10,10,9,8,9,8,10,10,8,8,10,10,9,9,10,10,52 %ile,1526813,0,0,0,11,1-13 EJ Indexes over 80th %tile,5,5
6,1,22,3023,P,Enchem Ohio Electrolyte Manufacturing Plant,Electrolyte,Liquid electrolyte,enchem.net, , ,OH,0, ,41.07713703,-82.72176545,41.07713703,-82.72176545, ,20000,MT/yr,39,077,39077,39,077,916200,1,390779162001,1500000US390779162001,Block Group 1,G5030,S,3787544,25282,+41.0709272,-082.7308080,29,"Block Group 1; Census Tract 9162; Huron County; Ohio""",1010,890,0,0,60,0,0,0,457,553,0,0,0,0,0,0,77,0,0,39,077,916200,1,0,0,0,3.90779E+15,390779162001,83,40,70,48,31,85,45,91,35,92,84,79,95,85,31,73,48,29,86,42,92,27,93,87,80,96,86,89,66,96,84,0,76,0,11,58,55,13,38,5,4,57,17,77,11,83,63,51,90,7,83 %ile,40 %ile,70 %ile,48 %ile,31 %ile,85 %ile,45 %ile,91 %ile,35 %ile,92 %ile,84 %ile,79 %ile,95 %ile,85 %ile,31 %ile,73 %ile,48 %ile,29 %ile,86 %ile,42 %ile,92 %ile,27 %ile,93 %ile,87 %ile,80 %ile,96 %ile,86 %ile,89 %ile,66 %ile,96 %ile,84 %ile,0 %ile,76 %ile,0 %ile,11 %ile,58 %ile,13 %ile,38 %ile,5 %ile,4 %ile,57 %ile,17 %ile,77 %ile,11 %ile,83 %ile,63 %ile,51 %ile,90 %ile,390779162001,Ohio,OH,Huron County,5,1041,1041,604,341,429,514,0.64024976,0.250826079,527,0.506243996,806,0.774255524,56,0.108949416,0,0,102,0.168874172,0,0,58,0.055715658,0.202051282,8.384691233,56.03894,0.174692726,20,0.2,900.3785026,10.5656399,240,0.559440559,0.015398167,0.757869176,1.135654148,1.268268067,0.601519979,35.2137368,13.79543435,8.32324688,3.260739027,24.32949088,9.531391002,3.2012488,1.254130395,2.56099904,1.003304316,36.49423632,14.2970865,10.88424592,4.264043343,49.29923152,19.31360808,7.04274736,2.759086869,53.14073008,20.81856456,40.33573488,15.80204298,32.65273776,12.79213003,57.6224784,22.57434711,9,9,7,11,9,1,8,1,2,6,6,2,4,1,1,6,2,8,2,9,7,6,10,9,9,5,4,8,8,5,5,4,3,9,9,5,5,10,10,4,3,10,10,9,9,8,9,11,11,55 %ile,3787544,25282,0,1,6,1-13 EJ Indexes over 80th %tile,3,3
7,1,24,3026,P,ENTEK US Lithium Separator Manufacturing Plant Phase II,Separators,Separators,Entek.com, ,Terre Haute,IN,0, ,39.48030782,-87.41179189,39.48030782,-87.41179189,640,1.8,billion sq m,18,167,18167,18,167,000300,2,181670003002,1500000US181670003002,Block Group 2,G5030,S,1750192,0,+39.4786244,-087.4156094,1,"Block Group 2; Census Tract 3; Vigo County; Indiana""",993,835,116,0,11,0,0,0,337,656,0,0,0,0,0,0,273,0,0,18,167,000300,2,0,0,0,1.8167E+15,181670003002,77,66,74,76,60,87,80,63,85,84,75,75,84,92,84,91,91,76,97,95,77,97,96,92,90,96,64,90,31,91,94,0,83,65,78,87,71,50,69,52,31,99,89,44,99,96,74,72,90,11,77 %ile,66 %ile,74 %ile,76 %ile,60 %ile,87 %ile,80 %ile,63 %ile,85 %ile,84 %ile,75 %ile,75 %ile,84 %ile,92 %ile,84 %ile,91 %ile,91 %ile,76 %ile,97 %ile,95 %ile,77 %ile,97 %ile,96 %ile,92 %ile,90 %ile,96 %ile,64 %ile,90 %ile,31 %ile,91 %ile,94 %ile,0 %ile,83 %ile,65 %ile,78 %ile,87 %ile,50 %ile,69 %ile,52 %ile,31 %ile,99 %ile,89 %ile,44 %ile,99 %ile,96 %ile,74 %ile,72 %ile,90 %ile,181670003002,Indiana,IN,Vigo County,5,810,765,393,419,475,318,0.400689906,0.256602922,125,0.154320988,495,0.647058824,56,0.176100629,0,0,86,0.218829517,53,0.065432099,193,0.238271605,0.241025641,8.923784658,61.07707,0.303362748,30,0.3,141021.6844,465.5318186,78,0.164210526,1.886471802,1.940672682,2.059247782,3.86043851,0.636777778,28.44898333,18.21880746,20.0344953,12.8301461,27.64760351,17.70560162,20.83587511,13.34335194,12.42138709,7.954690582,39.66830069,25.40368928,35.66140163,22.83766006,17.63035586,11.29052857,39.66830069,25.40368928,38.46623098,24.63388051,29.65105304,18.98861623,28.84967323,18.47541038,36.06209154,23.09426298,7,10,4,10,10,1,9,7,8,9,8,6,7,6,4,11,9,5,11,11,8,8,10,8,10,7,9,8,10,8,10,7,8,9,11,9,11,7,8,9,11,9,11,8,10,8,10,9,11,71 %ile,1750192,0,1,0,5,1-13 EJ Indexes over 80th %tile,0,10
8,1,25,3027,C,"North Augusta, SC Manufacturing Plant",Electrode materials,Additives,halocarbon.com,1100 Dittman Ct,Beech Island,SC,29841,470-419-6364,33.47746102,-81.93176669,33.47746102,-81.93176669, ,0, ,45,003,45003,45,003,020904,2,450030209042,1500000US450030209042,Block Group 2,G5030,S,22872142,609161,+33.4565434,-081.9071635,49,"Block Group 2; Census Tract 209.04; Aiken County; South Carolina""",1121,409,612,10,0,0,0,0,696,425,0,0,0,0,0,0,76,0,0,45,003,020904,2,0,0,0,4.5003E+15,450030209042,92,79,54,87,90,86,69,53,93,92,84,80,75,91,77,47,85,90,83,66,39,91,90,82,76,69,84,80,69,93,74,0,39,85,39,61,85,51,23,52,70,62,41,21,86,89,65,55,43,7,92 %ile,79 %ile,54 %ile,87 %ile,90 %ile,86 %ile,69 %ile,53 %ile,93 %ile,92 %ile,84 %ile,80 %ile,75 %ile,91 %ile,77 %ile,47 %ile,85 %ile,90 %ile,83 %ile,66 %ile,39 %ile,91 %ile,90 %ile,82 %ile,76 %ile,69 %ile,84 %ile,80 %ile,69 %ile,93 %ile,74 %ile,0 %ile,39 %ile,85 %ile,39 %ile,61 %ile,51 %ile,23 %ile,52 %ile,70 %ile,62 %ile,41 %ile,21 %ile,86 %ile,89 %ile,65 %ile,55 %ile,43 %ile,450030209042,South Carolina,SC,Aiken County,4,1256,1256,706,524,635,562,0.612659236,0.204677053,683,0.543789809,856,0.681528662,45,0.080071174,0,0,40,0.056657224,125,0.099522293,164,0.130573248,0.205128205,9.620580548,61.27386,0.121972529,30,0.4,1137.103509,51.67229419,19,0.02992126,0.208239219,1.107194292,1.232629366,1.646606627,0.000561302,52.07603506,17.39754951,31.24562104,10.4385297,14.09116243,4.707572219,31.85828027,10.64320676,42.88614652,14.32739371,37.98487263,12.68997729,25.11902868,8.391759173,12.86584396,4.298218113,52.6886943,17.60222656,54.526672,18.21625772,39.82285034,13.30400845,33.69625798,11.25723792,26.34434715,8.801113279,9,9,7,10,8,1,4,9,4,7,9,6,3,6,8,7,5,3,9,9,7,6,5,10,10,8,8,6,5,9,9,10,10,9,9,7,7,6,4,10,10,10,10,9,9,9,8,8,7,85 %ile,22872142,609161,0,2,8,1-13 EJ Indexes over 80th %tile,4,4
9,1,26,3028,C,Buffalo Research Lab,Electrolyte,Liquid electrolyte,Honeywell.com,20 Peabody St,Buffalo,NY,14210,716-827-6200,42.86816206,-78.8403631,42.86816206,-78.8403631,170,0, ,36,029,36029,36,029,016300,3,360290163003,1500000US360290163003,Block Group 3,G5030,S,1663458,114677,+42.8640415,-078.8329568,758,"Block Group 3; Census Tract 163; Erie County; New York""",887,753,0,0,5,0,0,0,498,389,0,0,0,0,0,0,46,0,0,36,029,016300,3,0,0,0,3.6029E+15,360290163003,70,75,83,46,29,83,92,94,65,92,92,84,58,85,91,96,51,31,94,99,99,80,99,99,96,73,79,97,55,96,95,0,98,33,40,98,40,48,69,5,4,60,97,99,34,95,95,70,28,10,70 %ile,75 %ile,83 %ile,46 %ile,29 %ile,83 %ile,92 %ile,94 %ile,65 %ile,92 %ile,92 %ile,84 %ile,58 %ile,85 %ile,91 %ile,96 %ile,51 %ile,31 %ile,94 %ile,99 %ile,99 %ile,80 %ile,99 %ile,99 %ile,96 %ile,73 %ile,79 %ile,97 %ile,55 %ile,96 %ile,95 %ile,0 %ile,98 %ile,33 %ile,40 %ile,98 %ile,48 %ile,69 %ile,5 %ile,4 %ile,60 %ile,97 %ile,99 %ile,34 %ile,95 %ile,95 %ile,70 %ile,28 %ile,360290163003,New York,NY,Erie County,2,905,905,631,346,488,311,0.555801105,0.344480682,323,0.356906077,683,0.754696133,59,0.189710611,0,0,311,0.492868463,29,0.032044199,119,0.131491713,0.285128205,7.835878082,60.88648,0.303046293,20,0.2,1026.91808,1303.474202,476,0.975409836,0.037277009,1.895998366,9.018939597,3.586177068,0.000074129,22.2320442,13.77922728,26.67845304,16.53507274,38.35027625,23.76916706,2.779005525,1.72240341,2.22320442,1.377922728,33.3480663,20.66884092,53.91270719,33.41462615,55.0243094,34.10358752,18.89723757,11.71234319,52.80110498,32.72566479,52.80110498,32.72566479,38.90607735,24.11364774,15.56243094,9.645459096,8,11,6,11,11,1,11,4,5,11,5,5,7,1,1,7,11,11,4,11,11,8,3,8,9,8,10,9,11,5,6,3,4,9,10,10,11,10,11,7,9,10,11,10,11,9,11,6,8,40 %ile,1663458,114677,0,1,7,1-13 EJ Indexes over 80th %tile,4,8
10,1,27,3029,C,Conroe Plant,Electrode materials,Solvents,huntsman.com,5451 Jefferson Chemical Road,Conroe,TX,77301,281-719-6000,30.31385807,-95.38850785,30.31385807,-95.38850785,175,36287,MT/yr,48,339,48339,48,339,693002,2,483396930022,1500000US483396930022,Block Group 2,G5030,S,13380984,48130,+30.3012290,-095.3759326,218,"Block Group 2; Census Tract 6930.02; Montgomery County; Texas""",2241,2151,0,0,90,0,0,0,1014,1227,0,0,0,0,0,0,0,0,0,48,339,693002,2,0,0,0,4.83397E+15,483396930022,91,91,60,97,71,95,46,0,91,92,77,77,93,94,95,62,98,74,97,44,0,94,94,82,80,95,82,88,88,53,0,61,99,18,11,80,85,84,29,94,31,99,19,0,83,91,54,52,91,9,91 %ile,91 %ile,60 %ile,97 %ile,71 %ile,95 %ile,46 %ile,0 %ile,91 %ile,92 %ile,77 %ile,77 %ile,93 %ile,94 %ile,95 %ile,62 %ile,98 %ile,74 %ile,97 %ile,44 %ile,0 %ile,94 %ile,94 %ile,82 %ile,80 %ile,95 %ile,82 %ile,88 %ile,88 %ile,53 %ile,0 %ile,61 %ile,99 %ile,18 %ile,11 %ile,80 %ile,84 %ile,29 %ile,94 %ile,31 %ile,99 %ile,19 %ile,0 %ile,83 %ile,91 %ile,54 %ile,52 %ile,91 %ile,483396930022,Texas,TX,Montgomery County,6,2176,2176,947,484,708,905,0.588924632,0.242971398,1933,0.888327206,630,0.289522059,0,0,7,0.01446281,646,0.682154171,33,0.015165441,127,0.058363971,0.228717949,9.588576438,66.65148,0.141113677,80,0.3,192227.0948,13.53291066,0,0,0.17824233,1.264713355,0.662463123,1.315562268,0.857384692,50.05859372,20.65256883,49.46966909,20.40959743,17.07881433,7.046170542,55.35891541,22.83931141,18.25666359,7.532113338,58.30353857,24.0541684,11.18956801,4.616456562,0,0,48.88074446,20.16662603,53.59214151,22.11039722,31.80193013,13.12045549,30.62408086,12.6345127,53.59214151,22.11039722,9,9,9,6,1,7,11,2,2,9,9,9,3,10,4,11,2,1,9,10,6,6,10,10,10,10,11,7,7,11,11,8,8,11,11,5,5,1,1,10,10,10,10,8,9,8,9,10,11,85 %ile,13380984,48130,0,1,7,1-13 EJ Indexes over 80th %tile,7,7
