OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,malePop,femalePop,incLessHal,GEOID_y,Segment,ProcessToo,P_D2_PM25,P_D2_OZONE,P_D2_DSLPM,P_D2_CANCER,P_D2_RESP,P_D2_RSEI_AIR,P_D2_PTRAF,P_D2_LDPNT,P_D2_PNPL,P_D2_PRMP,P_D2_PTSDF,P_D2_UST,P_D2_PWDIS,P_D5_PM25,P_D5_OZONE,P_D5_DSLPM,P_D5_CANCER,P_D5_RESP,P_D5_RSEI_AIR,P_D5_PTRAF,P_D5_LDPNT,P_D5_PNPL,P_D5_PRMP,P_D5_PTSDF,P_D5_UST,P_D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,EXCEED_COUNT_80_SUP,T_D2_PM25,T_D2_OZONE,T_D2_DSLPM,T_D2_CANCER,T_D2_RESP,T_D2_RSEI_AIR,T_D2_PTRAF,T_D2_LDPNT,T_D2_PNPL,T_D2_PRMP,T_D2_PTSDF,T_D2_UST,T_D2_PWDIS,T_D5_PM25,T_D5_OZONE,T_D5_DSLPM,T_D5_CANCER,T_D5_RESP,T_D5_RSEI_AIR,T_D5_PTRAF,T_D5_LDPNT,T_D5_PNPL,T_D5_PRMP,T_D5_PTSDF,T_D5_UST,T_D5_PWDIS,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_OZONE,T_DSLPM,T_CANCER,T_RESP,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,ID_1,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_CANCER,B_RESP,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_CANCER,B_D5_CANCER,B_D2_RESP,B_D5_RESP,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,T_PM25,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,SYMBOLOGY_EXCEED_COUNT_80,EXCEED_COUNT_90,EXCEED_COUNT_90_SUP
1,1,2,1001,C,"Albemarle - Kings Mountain, NC",Cathode raw materials,Li hydroxide - BG,albemarle.com,348 Holiday Inn Drive,Kings Mountain,NC,28086,704-739-2501,35.22046574,-81.34165268,35.22046574,-81.34165268,37,045,950500,3,370459505003,"Block Group 3; Census Tract 9505; Cleveland County; North Carolina""",1203,847,269,9,0,0,0,561,642,185,3.7046E+15,Raw Material,,75,80,64,76,83,80,66,75,73,58,67,78,67,85,91,76,87,91,89,78,82,84,67,79,88,77,65,82,46,84,82,0,71,45,57,97,64,79,49,52,70,74,55,62,62,40,55,79,50,8,75 %ile,80 %ile,64 %ile,76 %ile,83 %ile,80 %ile,66 %ile,75 %ile,73 %ile,58 %ile,67 %ile,78 %ile,67 %ile,85 %ile,91 %ile,76 %ile,87 %ile,91 %ile,89 %ile,78 %ile,82 %ile,84 %ile,67 %ile,79 %ile,88 %ile,77 %ile,65 %ile,82 %ile,46 %ile,84 %ile,82 %ile,0 %ile,71 %ile,45 %ile,57 %ile,97 %ile,79 %ile,49 %ile,52 %ile,70 %ile,74 %ile,55 %ile,62 %ile,62 %ile,40 %ile,55 %ile,79 %ile,50 %ile,370459505003,North Carolina,NC,Cleveland County,4,1196,1170,905,595,773,614,0.407683017,0.214699481,323,0.27006689,638,0.545299145,64,0.104234528,0,0,134,0.148066298,52,0.043478261,208,0.173913044,0.275897436,8.676150411,65.80971,0.212345194,30,0.4,2256.859169,92.69058028,267,0.345407503,0.088106958,0.132541307,0.699365969,5.380202617,0.001220009,26.09171309,13.74076678,32.20695834,16.961259,19.97646783,10.52027457,21.19951688,11.16437301,28.53781119,15.02896367,30.16854326,15.88776159,22.42256594,11.80847146,25.27634705,13.31136782,25.27634705,13.31136782,16.30732068,8.58797924,22.42256594,11.80847146,32.20695834,16.961259,20.38415085,10.73497405,7,9,5,9,9,1,8,5,6,11,7,8,5,6,8,8,6,7,7,5,6,8,6,8,9,9,10,7,8,8,9,9,10,9,9,7,8,8,9,8,9,6,7,7,8,8,9,7,8,64 %ile,10260539,269931,0,0,3,1-13 EJ Indexes over 80th %tile,0,2
2,1,3,1002,P,"Albemarle - Kings Mountain, NC",Cathode raw materials,Spodumene concentrate (5.5-6% Li2O),albemarle.com,348 Holiday Inn Drive,Kings Mountain,NC,28086,704-739-2501,35.22046574,-81.34165268,35.22046574,-81.34165268,37,045,950500,3,370459505003,"Block Group 3; Census Tract 9505; Cleveland County; North Carolina""",1203,847,269,9,0,0,0,561,642,185,3.7046E+15,Raw Material,,75,80,64,76,83,80,66,75,73,58,67,78,67,85,91,76,87,91,89,78,82,84,67,79,88,77,65,82,46,84,82,0,71,45,57,97,64,79,49,52,70,74,55,62,62,40,55,79,50,8,75 %ile,80 %ile,64 %ile,76 %ile,83 %ile,80 %ile,66 %ile,75 %ile,73 %ile,58 %ile,67 %ile,78 %ile,67 %ile,85 %ile,91 %ile,76 %ile,87 %ile,91 %ile,89 %ile,78 %ile,82 %ile,84 %ile,67 %ile,79 %ile,88 %ile,77 %ile,65 %ile,82 %ile,46 %ile,84 %ile,82 %ile,0 %ile,71 %ile,45 %ile,57 %ile,97 %ile,79 %ile,49 %ile,52 %ile,70 %ile,74 %ile,55 %ile,62 %ile,62 %ile,40 %ile,55 %ile,79 %ile,50 %ile,370459505003,North Carolina,NC,Cleveland County,4,1196,1170,905,595,773,614,0.407683017,0.214699481,323,0.27006689,638,0.545299145,64,0.104234528,0,0,134,0.148066298,52,0.043478261,208,0.173913044,0.275897436,8.676150411,65.80971,0.212345194,30,0.4,2256.859169,92.69058028,267,0.345407503,0.088106958,0.132541307,0.699365969,5.380202617,0.001220009,26.09171309,13.74076678,32.20695834,16.961259,19.97646783,10.52027457,21.19951688,11.16437301,28.53781119,15.02896367,30.16854326,15.88776159,22.42256594,11.80847146,25.27634705,13.31136782,25.27634705,13.31136782,16.30732068,8.58797924,22.42256594,11.80847146,32.20695834,16.961259,20.38415085,10.73497405,7,9,5,9,9,1,8,5,6,11,7,8,5,6,8,8,6,7,7,5,6,8,6,8,9,9,10,7,8,8,9,9,10,9,9,7,8,8,9,8,9,6,7,7,8,8,9,7,8,64 %ile,10260539,269931,0,0,3,1-13 EJ Indexes over 80th %tile,0,2
3,1,6,1007,PC-SU,Hell's Kitchen Lithium and Power Project,Cathode raw materials,Li carbonate - crude,cthermal.com,124 West 9th St,Imperial,CA,92251, ,32.84853846,-115.5710864,32.84853846,-115.5710864,06,025,011002,2,060250110022,"Block Group 2; Census Tract 110.02; Imperial County; California""",2831,1151,0,0,0,0,0,1384,1447,0,6.02501E+14,Raw Material,,93,80,49,51,34,20,96,94,96,93,66,90,99,91,77,39,48,29,13,93,91,93,91,61,87,97,94,89,91,90,96,69,81,99,12,49,70,41,15,5,4,5,80,70,77,73,28,63,96,7,93 %ile,80 %ile,49 %ile,51 %ile,34 %ile,20 %ile,96 %ile,94 %ile,96 %ile,93 %ile,66 %ile,90 %ile,99 %ile,91 %ile,77 %ile,39 %ile,48 %ile,29 %ile,13 %ile,93 %ile,91 %ile,93 %ile,91 %ile,61 %ile,87 %ile,97 %ile,94 %ile,89 %ile,91 %ile,90 %ile,96 %ile,69 %ile,81 %ile,99 %ile,12 %ile,49 %ile,41 %ile,15 %ile,5 %ile,4 %ile,5 %ile,80 %ile,70 %ile,77 %ile,73 %ile,28 %ile,63 %ile,96 %ile,060250110022,California,CA,Imperial County,9,2807,2807,1017,520,520,539,0.781261133,0.254499635,2625,0.935162095,1761,0.627360171,117,0.217068646,17,0.032692308,206,0.202556539,784,0.279301746,167,0.059494122,0.192820513,8.87390274,60.05858,0.096861961,20,0.2,1.29945959,254.9635683,233,0.448076923,0.143841069,0.412058044,0.152703231,2.55344638,6.901267956,54.68827931,17.81497445,32.03170645,10.43448504,11.718917,3.817494525,3.906305665,1.272498175,3.125044532,1.01799854,3.906305665,1.272498175,62.50089064,20.3599708,54.68827931,17.81497445,60.15710724,19.5964719,57.03206271,18.57847336,21.87531172,7.12598978,49.21945138,16.03347701,75.00106877,24.43196496,10,9,10,10,11,7,9,11,2,5,8,5,2,1,1,1,9,8,8,8,3,7,11,10,10,9,8,5,4,6,5,4,3,3,2,11,10,10,10,11,10,10,10,7,7,10,9,11,11,70 %ile,766934,0,0,0,8,1-13 EJ Indexes over 80th %tile,7,6
4,1,7,1017,P,"Lilac Solutions, Inc.",Cathode raw materials,Li - crude,www.lilacsolutions.com,1731 POPLAR STREET,Oakland,CA,94607,401-714-7906,37.8,-122.27,37.8,-122.27,06,001,403000,2,060014030002,"Block Group 2; Census Tract 4030; Alameda County; California""",1014,77,126,13,718,21,0,354,660,150,6.0014E+14,Raw Material,,79,5,97,51,79,84,98,96,98,80,98,98,50,88,4,99,51,85,90,99,99,99,87,99,99,53,93,98,92,86,80,99,96,14,95,25,41,1,89,5,31,45,99,81,94,44,96,98,16,10,79 %ile,5 %ile,97 %ile,51 %ile,79 %ile,84 %ile,98 %ile,96 %ile,98 %ile,80 %ile,98 %ile,98 %ile,50 %ile,88 %ile,4 %ile,99 %ile,51 %ile,85 %ile,90 %ile,99 %ile,99 %ile,99 %ile,87 %ile,99 %ile,99 %ile,53 %ile,93 %ile,98 %ile,92 %ile,86 %ile,80 %ile,99 %ile,96 %ile,14 %ile,95 %ile,25 %ile,1 %ile,89 %ile,5 %ile,31 %ile,45 %ile,99 %ile,81 %ile,94 %ile,44 %ile,96 %ile,98 %ile,16 %ile,060014030002,California,CA,Alameda County,9,930,930,847,411,452,360,0.759677419,0.370277281,886,0.952688172,527,0.566666667,34,0.094444444,258,0.627737226,334,0.39433294,8,0.008602151,363,0.390322581,0.168205128,7.869354521,49.51989,0.463336913,20,0.3,467.3910258,2732.440373,277,0.612831858,0.445761472,0.147230242,11.29693091,36.24290215,7.18468E-06,31.14677418,15.18136852,0.759677419,0.370277281,67.61129029,32.95467801,3.798387095,1.851386405,23.54999999,11.47859571,34.18548386,16.66247765,75.20806448,36.65745082,61.53387094,29.99245976,71.40967739,34.80606441,33.42580644,16.29220036,72.92903222,35.54661898,74.44838706,36.28717354,12.1548387,5.924436496,10,11,10,9,9,11,11,2,11,3,5,1,9,1,4,5,11,9,10,5,11,11,2,8,9,1,1,11,11,6,6,8,9,9,10,11,11,11,11,11,11,9,9,11,11,11,11,6,6,41 %ile,172291,0,0,0,8,1-13 EJ Indexes over 80th %tile,6,7
5,1,10,1054,PC-SU,Coosa Graphite Project,Anode raw materials,Natural graphite,westwaterresources.net,"6950 S. Potomac Street, Suite",Coosa County,AL,DNA,DNA,32.88967555,-86.22033352,32.88967555,-86.22033352,01,037,961200,1,010379612001,"Block Group 1; Census Tract 9612; Coosa County; Alabama""",1247,886,305,0,0,0,0,616,631,101,1.03796E+14,Raw Material,,78,50,20,74,81,28,33,66,32,11,19,44,14,80,45,13,76,83,22,28,62,24,7,12,37,11,61,61,50,73,55,0,58,21,54,34,79,32,9,52,70,15,18,52,17,5,8,24,7,2,78 %ile,50 %ile,20 %ile,74 %ile,81 %ile,28 %ile,33 %ile,66 %ile,32 %ile,11 %ile,19 %ile,44 %ile,14 %ile,80 %ile,45 %ile,13 %ile,76 %ile,83 %ile,22 %ile,28 %ile,62 %ile,24 %ile,7 %ile,12 %ile,37 %ile,11 %ile,61 %ile,61 %ile,50 %ile,73 %ile,55 %ile,0 %ile,58 %ile,21 %ile,54 %ile,34 %ile,32 %ile,9 %ile,52 %ile,70 %ile,15 %ile,18 %ile,52 %ile,17 %ile,5 %ile,8 %ile,24 %ile,7 %ile,010379612001,Alabama,AL,Coosa County,4,1474,1390,996,447,497,600,0.36987105,0.151186206,452,0.306648575,602,0.433093525,27,0.045,0,0,100,0.100401606,28,0.018995929,244,0.165535957,0.177435897,9.287553425,59.04455,0.076557276,30,0.4,36.76384,12.47454181,120,0.241448692,0.019736543,0.033304871,0.043410456,0.039520701,6.46236E-07,29.21981295,11.94371027,11.8358736,4.837958592,3.32883945,1.360675854,19.2332946,7.861682712,25.8909735,10.58303442,5.54806575,2.26779309,6.6576789,2.721351708,19.2332946,7.861682712,6.28780785,2.570165502,1.84935525,0.75593103,2.9589684,1.209489648,8.8769052,3.628468944,2.58909735,1.058303442,7,7,6,8,6,1,6,3,6,4,8,4,1,6,8,2,2,6,2,1,1,3,1,8,9,6,5,3,2,8,8,9,9,3,3,4,3,7,7,4,3,2,1,2,2,5,4,2,2,79 %ile,143833488,759414,0,0,1,1-13 EJ Indexes over 80th %tile,0,0
6,1,13,2002,PC-SU,Alabama Graphite Products LLC,Anode Battery Grade (BG) Materials,Natural graphite - BG,alabamagraphiteproducts.com,Lake Martin Industrial Park,Kelllyton,AL,35089,205-542-2455,32.98821238,-86.0341634,32.98821238,-86.0341634,01,037,961000,2,010379610002,"Block Group 2; Census Tract 9610; Coosa County; Alabama""",1060,457,566,0,0,0,0,597,463,17,1.03796E+14,Processed Material,,78,51,24,74,81,25,44,67,32,36,44,52,26,79,45,15,75,82,19,40,61,24,31,40,47,20,61,59,64,49,43,0,79,17,18,88,78,33,11,52,70,13,28,53,17,20,27,33,14,1,78 %ile,51 %ile,24 %ile,74 %ile,81 %ile,25 %ile,44 %ile,67 %ile,32 %ile,36 %ile,44 %ile,52 %ile,26 %ile,79 %ile,45 %ile,15 %ile,75 %ile,82 %ile,19 %ile,40 %ile,61 %ile,24 %ile,31 %ile,40 %ile,47 %ile,20 %ile,61 %ile,59 %ile,64 %ile,49 %ile,43 %ile,0 %ile,79 %ile,17 %ile,18 %ile,88 %ile,33 %ile,11 %ile,52 %ile,70 %ile,13 %ile,28 %ile,53 %ile,17 %ile,20 %ile,27 %ile,33 %ile,14 %ile,010379610002,Alabama,AL,Coosa County,4,852,610,689,212,305,259,0.373043177,0.14605661,408,0.478873239,163,0.267213115,8,0.030888031,0,0,131,0.190130624,12,0.014084507,67,0.078638498,0.242051282,9.218192329,59.16083,0.083592377,30,0.4,26.80525721,27.08397338,77,0.252459016,0.019771998,0.075489514,0.146143798,0.240640264,4.72125E-06,29.09736781,11.39241558,12.31042484,4.81986813,4.103474947,1.60662271,19.3982452,7.59494372,26.11302239,10.2239627,4.849561301,1.89873593,10.44520896,4.08958508,19.77128838,7.74100033,6.341734009,2.48296237,7.46086354,2.9211322,10.07216578,3.94352847,12.31042484,4.81986813,5.222604478,2.04479254,7,6,7,5,5,1,8,2,2,9,8,4,2,6,8,2,3,6,2,3,3,4,2,8,8,6,5,3,2,8,8,9,9,3,2,5,5,7,7,4,3,4,4,5,5,6,5,3,3,78 %ile,56236718,547243,0,0,1,1-13 EJ Indexes over 80th %tile,0,0
7,1,14,2003,P,Mega-Flex,Cathode Battery Grade (BG) Materials,Li hydroxide - BG,albemarle.com, ,Richburg,SC, , ,34.71724454,-81.01913409,34.71724454,-81.01913409,45,023,020700,2,450230207002,"Block Group 2; Census Tract 207; Chester County; South Carolina""",1161,596,474,0,6,0,0,617,544,60,4.5023E+15,Processed Material,,69,80,67,78,84,83,52,70,81,52,63,61,77,69,84,70,80,86,84,52,67,84,49,64,59,78,68,70,62,72,75,0,76,49,49,45,51,74,51,52,70,76,33,51,77,30,45,39,65,5,69 %ile,80 %ile,67 %ile,78 %ile,84 %ile,83 %ile,52 %ile,70 %ile,81 %ile,52 %ile,63 %ile,61 %ile,77 %ile,69 %ile,84 %ile,70 %ile,80 %ile,86 %ile,84 %ile,52 %ile,67 %ile,84 %ile,49 %ile,64 %ile,59 %ile,78 %ile,68 %ile,70 %ile,62 %ile,72 %ile,75 %ile,0 %ile,76 %ile,49 %ile,49 %ile,45 %ile,74 %ile,51 %ile,52 %ile,70 %ile,76 %ile,33 %ile,51 %ile,77 %ile,30 %ile,45 %ile,39 %ile,65 %ile,450230207002,South Carolina,SC,Chester County,4,1128,1128,714,412,515,570,0.432624114,0.173337565,497,0.440602837,479,0.42464539,47,0.08245614,0,0,122,0.170868347,54,0.04787234,173,0.153368794,0.188717949,8.246915616,64.89451,0.22369757,30,0.4,2424.697322,35.09193954,119,0.231067961,0.143877353,0.103702457,0.35298655,0.50607807,0.007697966,22.06382981,8.840215815,32.01418444,12.82697981,22.06382981,8.840215815,22.49645393,9.01355338,30.28368798,12.13362955,32.87943266,13.17365494,14.27659576,5.720139645,22.06382981,8.840215815,33.31205678,13.34699251,12.97872342,5.20012695,19.46808513,7.800190425,16.87234045,6.760165035,28.12056741,11.26694173,7,8,7,8,8,1,8,5,5,5,6,8,6,6,8,8,4,6,8,4,5,4,7,7,7,9,9,7,8,8,9,9,9,9,9,6,6,8,7,9,9,6,5,7,7,7,6,8,8,51 %ile,66151878,249992,0,1,4,1-13 EJ Indexes over 80th %tile,0,0
8,1,17,2026,PC-SU,Hell's Kitchen Lithium and Power Project,Cathode Battery Grade (BG) Materials,Li hydroxide - BG,cthermal.com,124 West 9th St,Imperial,CA,92251, ,32.84853846,-115.5710864,32.84853846,-115.5710864,06,025,011002,2,060250110022,"Block Group 2; Census Tract 110.02; Imperial County; California""",2831,1151,0,0,0,0,0,1384,1447,0,6.02501E+14,Processed Material,,93,80,49,51,34,20,96,94,96,93,66,90,99,91,77,39,48,29,13,93,91,93,91,61,87,97,94,89,91,90,96,69,81,99,12,49,70,41,15,5,4,5,80,70,77,73,28,63,96,7,93 %ile,80 %ile,49 %ile,51 %ile,34 %ile,20 %ile,96 %ile,94 %ile,96 %ile,93 %ile,66 %ile,90 %ile,99 %ile,91 %ile,77 %ile,39 %ile,48 %ile,29 %ile,13 %ile,93 %ile,91 %ile,93 %ile,91 %ile,61 %ile,87 %ile,97 %ile,94 %ile,89 %ile,91 %ile,90 %ile,96 %ile,69 %ile,81 %ile,99 %ile,12 %ile,49 %ile,41 %ile,15 %ile,5 %ile,4 %ile,5 %ile,80 %ile,70 %ile,77 %ile,73 %ile,28 %ile,63 %ile,96 %ile,060250110022,California,CA,Imperial County,9,2807,2807,1017,520,520,539,0.781261133,0.254499635,2625,0.935162095,1761,0.627360171,117,0.217068646,17,0.032692308,206,0.202556539,784,0.279301746,167,0.059494122,0.192820513,8.87390274,60.05858,0.096861961,20,0.2,1.29945959,254.9635683,233,0.448076923,0.143841069,0.412058044,0.152703231,2.55344638,6.901267956,54.68827931,17.81497445,32.03170645,10.43448504,11.718917,3.817494525,3.906305665,1.272498175,3.125044532,1.01799854,3.906305665,1.272498175,62.50089064,20.3599708,54.68827931,17.81497445,60.15710724,19.5964719,57.03206271,18.57847336,21.87531172,7.12598978,49.21945138,16.03347701,75.00106877,24.43196496,10,9,10,10,11,7,9,11,2,5,8,5,2,1,1,1,9,8,8,8,3,7,11,10,10,9,8,5,4,6,5,4,3,3,2,11,10,10,10,11,10,10,10,7,7,10,9,11,11,70 %ile,766934,0,0,0,8,1-13 EJ Indexes over 80th %tile,7,6
9,1,18,2027,PC-SU,Hell's Kitchen Lithium and Power Project,Cathode Battery Grade (BG) Materials,Li carbonate - BG,cthermal.com,124 West 9th St,Imperial,CA,92251, ,32.84853846,-115.5710864,32.84853846,-115.5710864,06,025,011002,2,060250110022,"Block Group 2; Census Tract 110.02; Imperial County; California""",2831,1151,0,0,0,0,0,1384,1447,0,6.02501E+14,Processed Material,,93,80,49,51,34,20,96,94,96,93,66,90,99,91,77,39,48,29,13,93,91,93,91,61,87,97,94,89,91,90,96,69,81,99,12,49,70,41,15,5,4,5,80,70,77,73,28,63,96,7,93 %ile,80 %ile,49 %ile,51 %ile,34 %ile,20 %ile,96 %ile,94 %ile,96 %ile,93 %ile,66 %ile,90 %ile,99 %ile,91 %ile,77 %ile,39 %ile,48 %ile,29 %ile,13 %ile,93 %ile,91 %ile,93 %ile,91 %ile,61 %ile,87 %ile,97 %ile,94 %ile,89 %ile,91 %ile,90 %ile,96 %ile,69 %ile,81 %ile,99 %ile,12 %ile,49 %ile,41 %ile,15 %ile,5 %ile,4 %ile,5 %ile,80 %ile,70 %ile,77 %ile,73 %ile,28 %ile,63 %ile,96 %ile,060250110022,California,CA,Imperial County,9,2807,2807,1017,520,520,539,0.781261133,0.254499635,2625,0.935162095,1761,0.627360171,117,0.217068646,17,0.032692308,206,0.202556539,784,0.279301746,167,0.059494122,0.192820513,8.87390274,60.05858,0.096861961,20,0.2,1.29945959,254.9635683,233,0.448076923,0.143841069,0.412058044,0.152703231,2.55344638,6.901267956,54.68827931,17.81497445,32.03170645,10.43448504,11.718917,3.817494525,3.906305665,1.272498175,3.125044532,1.01799854,3.906305665,1.272498175,62.50089064,20.3599708,54.68827931,17.81497445,60.15710724,19.5964719,57.03206271,18.57847336,21.87531172,7.12598978,49.21945138,16.03347701,75.00106877,24.43196496,10,9,10,10,11,7,9,11,2,5,8,5,2,1,1,1,9,8,8,8,3,7,11,10,10,9,8,5,4,6,5,4,3,3,2,11,10,10,10,11,10,10,10,7,7,10,9,11,11,70 %ile,766934,0,0,0,8,1-13 EJ Indexes over 80th %tile,7,6
10,1,19,2035,UC,Warren Graphite Facility,Anode Battery Grade (BG) Materials,Natural graphite - BG,Graphexgroup.com,DNA,Warren,MI, , ,42.52232433,-83.04040803,42.52232433,-83.04040803,26,099,982300,1,260999823001,"Block Group 1; Census Tract 9823; Macomb County; Michigan""",70,64,6,0,0,0,0,59,11,25,2.61E+15,Processed Material,,85,77,75,41,26,84,72,0,73,65,78,83,85,99,97,97,51,32,98,96,0,95,89,98,99,99,67,98,19,96,99,0,94,0,18,,93,68,68,5,4,81,65,0,60,47,77,90,88,10,85 %ile,77 %ile,75 %ile,41 %ile,26 %ile,84 %ile,72 %ile,0 %ile,73 %ile,65 %ile,78 %ile,83 %ile,85 %ile,99 %ile,97 %ile,97 %ile,51 %ile,32 %ile,98 %ile,96 %ile,0 %ile,95 %ile,89 %ile,98 %ile,99 %ile,99 %ile,67 %ile,98 %ile,19 %ile,96 %ile,99 %ile,0 %ile,94 %ile,0 %ile,18 %ile,,68 %ile,68 %ile,5 %ile,4 %ile,81 %ile,65 %ile,0 %ile,60 %ile,47 %ile,77 %ile,90 %ile,88 %ile,260999823001,Michigan,MI,Macomb County,5,88,88,67,0,0,20,0.426136364,0.370234057,7,0.079545455,68,0.772727273,7,0.35,0,0,24,0.358208955,0,0,7,0.079545455,,10.21322712,63.65449,0.299818918,20,0.2,3562.562358,139.4038654,0,0,0.082884745,0.157332322,2.383737322,11.43743904,0.400784928,39.63068185,34.4317673,28.97727275,25.17591588,28.97727275,25.17591588,2.13068182,1.851170285,1.704545456,1.480936228,34.51704548,29.98895862,27.69886366,24.06521371,0,0,25.56818184,22.21404342,20.02840911,17.40100068,32.81250003,28.50802239,38.35227276,33.32106513,37.50000003,32.58059702,7,11,2,11,11,1,10,1,2,,10,7,7,1,1,9,7,1,7,5,8,10,9,9,11,8,11,8,11,5,6,3,4,9,11,8,11,1,1,8,11,7,9,8,11,9,11,9,11,93 %ile,3635695,91036,0,0,4,1-13 EJ Indexes over 80th %tile,0,9
