OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,Facility_W,Production,Producti_1,State_FIPS,County_FIP,State_Coun,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Unnamed__0,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,B03001_027,malePop,femalePop,lessHighSc,highSchl,someUni,uniBach,uniGrad,incBelowPo,incLessHal,unemployed,miningOGJo,state,county,tract,blockGroup,menHealthC,womenHealt,disabledPo,GEOID_y,geoid_form,ObjectID_1,AFFGEOID_C,fipstate_2,fipscty_20,geoid_cty_,county_nam,state_name,MSA_area_I,MSA_area_n,ffe_ind_qu,ec_ind_qua,msa_qual,FEE_qual_s,EC_qual_st,Label_FEE,Label_EC,MSA_NMSA_L,date_last_,dataset_ve,date_recor,Shape_Leng,AFFGEOID_T,fipcounty_,geoid_coun,fiptract_2,geoid_trac,Mine_Qual,Generator_,Neighbor_Q,CensusTrac,Mine_Closu,Generator1,Adjacent_t,Tract_Stat,record_add,Symbol
1,1,1,5000,C,3M Guin,Non-cell Components,Thermal Systems,3m.com,6675 US Highway 43,Guin,AL,35563,205-468-3315,33.96605937,-87.8987665,33.96605937,-87.8987665, , , ,01,093,01093,01,093,964600,3,010939646003,1500000US010939646003,Block Group 3,G5030,S,47857409,18575,+33.9440481,-087.9011581,23,"Block Group 3; Census Tract 9646; Marion County; Alabama""",750,627,88,3,0,0,0,0,362,388,0,0,0,0,0,0,2,0,0,01,093,964600,3,0,0,0,1.09396E+14,010939646003,,,01,,,Marion County,Alabama,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.576853867,1400000US01093964600,093,01093,964600,01093964600,0,0,1,Census Tract 9646,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
2,1,9,5016,C,Amphenol Interconnect Products,Non-cell Components,Electrical Systems,amphenol-ipc.com,20 Valley St,Endwell,NY,13760,607-754-4444,42.10899486,-76.01384643,42.10899486,-76.01384643, , , ,36,007,36007,36,007,013000,3,360070130003,1500000US360070130003,Block Group 3,G5030,S,1734180,277611,+42.1120465,-076.0061917,122,"Block Group 3; Census Tract 130; Broome County; New York""",771,734,0,0,0,0,0,0,400,371,0,0,0,0,0,0,17,0,0,36,007,013000,3,0,0,0,3.6007E+15,360070130003,,,36,,,Broome County,New York,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.171312952,1400000US36007013000,007,36007,013000,36007013000,0,1,0,Census Tract 130,No,Yes,No,is an energy community due to a coal-fired electric generating unit retirement,2023-03-28 0:00:00,Census tract with a coal closure
3,2,10,5017,C,Amphenol Advanced Sensors,Non-cell Components,Safety Systems,amphenol-sensors.com,967 Windfall Road,St. Marys,PA,15857,203-265-8900,41.45693188,-78.55920762,41.45693188,-78.55920762, , , ,42,047,42047,42,047,951100,3,420479511003,1500000US420479511003,Block Group 3,G5030,S,4006953,9806,+41.4543061,-078.5610778,20,"Block Group 3; Census Tract 9511; Elk County; Pennsylvania""",1494,1364,1,0,0,0,0,0,631,863,0,0,0,0,0,0,124,0,0,42,047,951100,3,0,0,0,4.2048E+15,420479511003,1042,0500000US42047,42,047,42047,Elk County,Pennsylvania,4200002,Northern Pennsylvania nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",Northern Pennsylvania non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.594558301,1400000US42047951100,047,42047,951100,42047951100,0,0,1,Census Tract 9511,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
4,2,11,5018,C,Amphenol Thermometrics St. Marys,Non-cell Components,Electrical Systems,amphenol-sensors.com,967 Windfall Road,St. Marys,PA,15857,203-265-8900,41.45693188,-78.55920762,41.45693188,-78.55920762, , , ,42,047,42047,42,047,951100,3,420479511003,1500000US420479511003,Block Group 3,G5030,S,4006953,9806,+41.4543061,-078.5610778,20,"Block Group 3; Census Tract 9511; Elk County; Pennsylvania""",1494,1364,1,0,0,0,0,0,631,863,0,0,0,0,0,0,124,0,0,42,047,951100,3,0,0,0,4.2048E+15,420479511003,1042,0500000US42047,42,047,42047,Elk County,Pennsylvania,4200002,Northern Pennsylvania nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",Northern Pennsylvania non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.594558301,1400000US42047951100,047,42047,951100,42047951100,0,0,1,Census Tract 9511,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
5,1,12,5021,C,"Auto Motive Power, Inc.",Cell Assemblies/ Groupings,Packs,www.automotivepower.com,11643 Telegraph Rd,Santa Fe Springs,CA,90670,800-894-7104,34.3872,-118.1123,33.94732887,-118.0847079,100, , ,06,037,06037,06,037,502700,2,060375027002,1500000US060375027002,Block Group 2,G5030,S,283795,0,+33.9498552,-118.0857271,4146,"Block Group 2; Census Tract 5027; Los Angeles County; California""",1071,328,74,25,111,0,0,0,510,561,0,0,0,0,0,0,47,0,0,06,037,502700,2,0,0,0,6.0375E+14,060375027002,136,0500000US06037,06,037,06037,Los Angeles County,California,31080,"Los Angeles-Long Beach-Anaheim, CA",1,1,MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement","Los Angeles-Long Beach-Anaheim, CA metropolitan statistical area (MSA)",2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,7.285474469,,,,,,,,,,,,,,,
6,1,18,5031,C,"Cell-Con, Inc.",Cell Assemblies/ Groupings,Packs,cell-con.com,8468 US Rte. 220,Bedford,PA,15522,800-771-7139,39.93709165,-78.58147774,39.93709165,-78.58147774,30, , ,42,009,42009,42,009,960800,4,420099608004,1500000US420099608004,Block Group 4,G5030,S,33422404,195358,+39.9674368,-078.5370734,29,"Block Group 4; Census Tract 9608; Bedford County; Pennsylvania""",1505,1500,0,5,0,0,0,0,710,795,0,0,0,0,0,0,0,0,0,42,009,960800,4,0,0,0,4.201E+15,420099608004,1032,0500000US42009,42,009,42009,Bedford County,Pennsylvania,4200003,Southern Pennsylvania nonmetropolitan area,1,1,Non_MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement",Southern Pennsylvania non-metropolitan statistical area (Non-MSA),2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.347645187,,,,,,,,,,,,,,,
7,1,19,5036,C,Custom Power,Cell Assemblies/ Groupings,Packs,custompower.com,10910 Talbert Ave.,Fountain Valley,CA,92708,800-896-5059,33.70159922,-117.9382855,33.70159922,-117.9382855,75, , ,06,059,06059,06,059,099229,4,060590992294,1500000US060590992294,Block Group 4,G5030,S,2884254,0,+33.7017377,-117.9366710,1719,"Block Group 4; Census Tract 992.29; Orange County; California""",1261,653,0,0,364,0,0,0,493,768,0,0,0,0,0,0,87,0,0,06,059,099229,4,0,0,0,6.0591E+14,060590992294,138,0500000US06059,06,059,06059,Orange County,California,31080,"Los Angeles-Long Beach-Anaheim, CA",1,1,MSA,Yes,Yes, ,"is an energy community, as it meets both the Fossil Fuel Employment (FFE) threshold and the unemployment rate requirement","Los Angeles-Long Beach-Anaheim, CA metropolitan statistical area (MSA)",2023-05-30 0:00:00,2023.2,2023-04-03 0:00:00,2.187983754,,,,,,,,,,,,,,,
8,1,20,5037,UC,Daimler Tuscaloosa Plant,Cell Assemblies/ Groupings,Packs,daimler.com,1 Mercedes Dr,Vance,AL,35490, ,33.1842915,-87.26243943,33.1842915,-87.26243943,4400, , ,01,125,01125,01,125,010703,1,011250107031,1500000US011250107031,Block Group 1,G5030,S,68296672,410297,+33.1603831,-087.2391563,58,"Block Group 1; Census Tract 107.03; Tuscaloosa County; Alabama""",1878,1595,277,0,0,0,0,0,1006,872,0,0,0,0,0,0,99,0,0,01,125,010703,1,0,0,0,1.12501E+14,011250107031,,,01,,,Tuscaloosa County,Alabama,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.643431412,1400000US01125010703,125,01125,010703,01125010703,0,0,1,Census Tract 107.03,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
9,1,40,5092,C,Magna Electric Vehicle Structures,Non-cell Components,Packaging Systems,magna.com,1811 S Range Rd,St. Clair,MI,48079,DNA,42.85259182,-82.495335,42.85276488,-82.49443378,300, , ,26,147,26147,26,147,642000,6,261476420006,1500000US261476420006,Block Group 6,G5030,S,779726,0,+42.8483759,-082.4951849,102,"Block Group 6; Census Tract 6420; St. Clair County; Michigan""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,147,642000,6,0,0,0,2.61476E+15,261476420006,,,26,,,St. Clair County,Michigan,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.195421973,1400000US26147642000,147,26147,642000,26147642000,0,0,1,Census Tract 6420,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
10,1,52,5110,UC,Colleton County Battery Plant,Cell Assemblies/ Groupings,Racks / Cabinets,pomega.com, ,Walterboro,SC,29488, ,32.90500672,-80.66896469,32.90500672,-80.66896469,575,3,GWh/yr,45,029,45029,45,029,970502,1,450299705021,1500000US450299705021,Block Group 1,G5030,S,2491272,0,+32.8972748,-080.6700160,18,"Block Group 1; Census Tract 9705.02; Colleton County; South Carolina""",920,112,701,0,1,0,0,0,504,416,0,0,0,0,0,0,269,0,0,45,029,970502,1,0,0,0,4.503E+15,450299705021,,,45,,,Colleton County,South Carolina,,,,,,,,,,,2023-05-23 0:00:00,2023.2,,0.1481425,1400000US45029970502,029,45029,970502,45029970502,0,0,1,Census Tract 9705.02,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,2023-03-28 0:00:00,Census tract directly adjoining a census tract with a coal closure
