OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,Facility_W,Production,Producti_1,State_FIPS,County_FIP,State_Coun,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Unnamed__0,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,B03001_027,malePop,femalePop,lessHighSc,highSchl,someUni,uniBach,uniGrad,incBelowPo,incLessHal,unemployed,miningOGJo,state,county,tract,blockGroup,menHealthC,womenHealt,disabledPo,GEOID_y,geoid_form,P_D2_PM25,P_D2_OZONE,P_D2_DSLPM,P_D2_CANCER,P_D2_RESP,P_D2_RSEI_AIR,P_D2_PTRAF,P_D2_LDPNT,P_D2_PNPL,P_D2_PRMP,P_D2_PTSDF,P_D2_UST,P_D2_PWDIS,P_D5_PM25,P_D5_OZONE,P_D5_DSLPM,P_D5_CANCER,P_D5_RESP,P_D5_RSEI_AIR,P_D5_PTRAF,P_D5_LDPNT,P_D5_PNPL,P_D5_PRMP,P_D5_PTSDF,P_D5_UST,P_D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,EXCEED_COUNT_80_SUP,T_D2_PM25,T_D2_OZONE,T_D2_DSLPM,T_D2_CANCER,T_D2_RESP,T_D2_RSEI_AIR,T_D2_PTRAF,T_D2_LDPNT,T_D2_PNPL,T_D2_PRMP,T_D2_PTSDF,T_D2_UST,T_D2_PWDIS,T_D5_PM25,T_D5_OZONE,T_D5_DSLPM,T_D5_CANCER,T_D5_RESP,T_D5_RSEI_AIR,T_D5_PTRAF,T_D5_LDPNT,T_D5_PNPL,T_D5_PRMP,T_D5_PTSDF,T_D5_UST,T_D5_PWDIS,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_OZONE,T_DSLPM,T_CANCER,T_RESP,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,ID_1,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED_1,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_CANCER,B_RESP,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_CANCER,B_D5_CANCER,B_D2_RESP,B_D5_RESP,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,T_PM25,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,SYMBOLOGY_EXCEED_COUNT_80,EXCEED_COUNT_90,EXCEED_COUNT_90_SUP
1,1,4,5003,C,AA Portable Power Corp.,Cell Assemblies/ Groupings,Packs,aaportablepower.com,825 South 19th Street,Richmond,CA,94804,510-525-2328,37.92084821,-122.3522502,37.92084821,-122.3522502,30, , ,06,013,06013,06,013,380002,1,060133800021,1500000US060133800021,Block Group 1,G5030,S,1811409,0,+37.9187152,-122.3555379,655,"Block Group 1; Census Tract 3800.02; Contra Costa County; California""",2268,791,529,0,525,41,0,0,1287,981,0,0,0,0,0,0,128,0,0,06,013,380002,1,0,0,0,6.01338E+14,060133800021,71,7,86,44,66,90,89,68,91,87,90,73,78,43,2,70,23,46,71,71,38,75,68,73,50,52,74,35,79,50,25,0,36,31,49,31,46,2,86,5,31,90,96,41,97,88,99,53,58,0,71 %ile,7 %ile,86 %ile,44 %ile,66 %ile,90 %ile,89 %ile,68 %ile,91 %ile,87 %ile,90 %ile,73 %ile,78 %ile,43 %ile,2 %ile,70 %ile,23 %ile,46 %ile,71 %ile,71 %ile,38 %ile,75 %ile,68 %ile,73 %ile,50 %ile,52 %ile,74 %ile,35 %ile,79 %ile,50 %ile,25 %ile,0 %ile,36 %ile,31 %ile,49 %ile,31 %ile,2 %ile,86 %ile,5 %ile,31 %ile,90 %ile,96 %ile,41 %ile,97 %ile,88 %ile,99 %ile,53 %ile,58 %ile,060133800021,California,CA,Contra Costa County,9,2664,2664,2357,950,1000,1459,0.496621622,0.100906635,1929,0.724099099,717,0.269144144,16,0.010966415,0,0,118,0.05006364,78,0.029279279,410,0.153903904,0.174358974,8.042858904,50.22398,0.431754408,20,0.3,7688.396236,1055.99122,142,0.142,0.806036595,1.035262321,21.37561102,1.400243934,0.003407861,22.84459461,4.64170521,0.993243244,0.20181327,42.70945949,8.67797061,2.48310811,0.504533175,15.39527028,3.128105685,44.69594598,9.08159715,47.67567571,9.68703696,20.3614865,4.137172035,48.17229733,9.787943595,43.70270274,8.87978388,49.16554058,9.989756865,26.32094597,5.348051655,28.80405408,5.85258483,8,4,8,6,3,1,4,4,5,4,5,1,9,1,4,10,11,5,11,9,11,6,6,8,5,1,1,9,8,5,3,7,5,10,8,9,8,7,4,10,8,9,7,10,8,8,6,8,6,46 %ile,1820457,0,0,5,6,1-13 EJ Indexes over 80th %tile,3,0
2,1,12,5021,C,"Auto Motive Power, Inc.",Cell Assemblies/ Groupings,Packs,www.automotivepower.com,11643 Telegraph Rd,Santa Fe Springs,CA,90670,800-894-7104,34.3872,-118.1123,33.94732887,-118.0847079,100, , ,06,037,06037,06,037,502700,2,060375027002,1500000US060375027002,Block Group 2,G5030,S,283795,0,+33.9498552,-118.0857271,4146,"Block Group 2; Census Tract 5027; Los Angeles County; California""",1071,328,74,25,111,0,0,0,510,561,0,0,0,0,0,0,47,0,0,06,037,502700,2,0,0,0,6.0375E+14,060375027002,92,91,89,84,94,87,92,89,92,92,92,83,92,89,88,86,79,91,80,87,82,88,87,88,77,88,78,67,90,31,66,89,91,56,28,14,99,91,88,52,92,70,96,80,95,98,98,71,93,11,92 %ile,91 %ile,89 %ile,84 %ile,94 %ile,87 %ile,92 %ile,89 %ile,92 %ile,92 %ile,92 %ile,83 %ile,92 %ile,89 %ile,88 %ile,86 %ile,79 %ile,91 %ile,80 %ile,87 %ile,82 %ile,88 %ile,87 %ile,88 %ile,77 %ile,88 %ile,78 %ile,67 %ile,90 %ile,31 %ile,66 %ile,89 %ile,91 %ile,56 %ile,28 %ile,14 %ile,91 %ile,88 %ile,52 %ile,92 %ile,70 %ile,96 %ile,80 %ile,95 %ile,98 %ile,98 %ile,71 %ile,93 %ile,060375027002,California,CA,Los Angeles County,9,1305,1281,799,394,394,657,0.547144383,0.165437152,1208,0.925670498,216,0.168618267,41,0.062404871,57,0.144670051,237,0.296620776,71,0.05440613,136,0.104214559,0.154871795,11.49768411,68.81425,0.459405722,30,0.5,1760.663632,1045.874154,235,0.596446701,0.572127691,2.78735087,14.16255495,3.767705164,2.513200404,54.16729392,16.37827805,49.79013885,15.05478083,48.1487057,14.55846938,28.45150792,8.602731904,50.33728324,15.22021798,38.30010681,11.58060064,52.52586077,15.88196659,43.77155064,13.23497216,51.97871639,15.71652944,53.62014953,16.2128409,53.62014953,16.2128409,38.84725119,11.74603779,50.88442762,15.38565514,8,7,10,4,7,9,10,6,3,2,11,10,9,6,10,8,11,9,11,11,11,8,10,10,9,10,9,9,9,9,8,10,10,9,9,10,9,9,9,10,9,10,9,10,9,9,8,10,9,99 %ile,283795,0,0,0,13,1-13 EJ Indexes over 80th %tile,8,1
3,1,13,5023,C,"Blue Line Battery, Inc.",Cell Assemblies/ Groupings,Packs,www.bluelinebattery.com,601 3rd St,Beloit,WI,53511,262-501-3376,42.50202,-89.03664,42.50316746,-89.0351767,12, , ,55,105,55105,55,105,001500,2,551050015002,1500000US551050015002,Block Group 2,G5030,S,1552722,119252,+42.4991407,-089.0322621,56,"Block Group 2; Census Tract 15; Rock County; Wisconsin""",741,524,114,5,5,0,0,0,413,328,0,0,0,0,0,0,107,0,0,55,105,001500,2,0,0,0,5.5105E+15,551050015002,86,59,70,45,29,92,89,91,89,83,63,88,84,89,56,74,44,27,94,92,92,91,86,64,90,86,76,80,63,87,58,0,65,34,39,98,78,30,47,5,4,95,91,91,86,73,37,87,69,8,86 %ile,59 %ile,70 %ile,45 %ile,29 %ile,92 %ile,89 %ile,91 %ile,89 %ile,83 %ile,63 %ile,88 %ile,84 %ile,89 %ile,56 %ile,74 %ile,44 %ile,27 %ile,94 %ile,92 %ile,92 %ile,91 %ile,86 %ile,64 %ile,90 %ile,86 %ile,76 %ile,80 %ile,63 %ile,87 %ile,58 %ile,0 %ile,65 %ile,34 %ile,39 %ile,98 %ile,30 %ile,47 %ile,5 %ile,4 %ile,95 %ile,91 %ile,91 %ile,86 %ile,73 %ile,37 %ile,87 %ile,69 %ile,551050015002,Wisconsin,WI,Rock County,5,786,786,535,336,357,380,0.523536896,0.208287303,364,0.463104326,459,0.583969466,19,0.05,0,0,66,0.123364486,26,0.03307888,102,0.129770992,0.284102564,9.216656438,58.83546,0.205187103,20,0.2,14508.69068,521.1711966,281,0.787114846,0.214583262,0.419962969,0.213830579,9.338660434,0.012485555,40.83587789,16.24640963,15.70610688,6.24861909,24.60623411,9.789503241,2.61768448,1.041436515,2.094147584,0.833149212,49.73600512,19.78729379,47.64185754,18.95414457,47.64185754,18.95414457,45.02417306,17.91270806,38.21819341,15.20497312,19.37086515,7.706630211,45.54770995,18.12099536,36.12404582,14.37182391,8,9,7,9,6,1,7,4,4,11,8,4,5,1,1,11,10,10,9,8,4,9,7,9,9,6,6,8,8,5,5,3,3,10,10,9,10,10,10,9,10,9,9,7,7,9,10,9,9,78 %ile,1552722,119252,0,0,8,1-13 EJ Indexes over 80th %tile,2,5
4,1,16,5027,C,Spartanburg Manufacturing Plant,Cell Assemblies/ Groupings,Packs,bmwgroup-werke.com,1400 Highway 101 S,Greer,SC,29651,864-802-6000 ,34.89464798,-82.18036567,34.89464798,-82.18036567,120,22500,units/yr,45,083,45083,45,083,023202,2,450830232022,1500000US450830232022,Block Group 2,G5030,S,21249078,90943,+34.8997299,-082.2045307,169,"Block Group 2; Census Tract 232.02; Spartanburg County; South Carolina""",1061,868,151,0,0,0,0,0,463,598,0,0,0,0,0,0,39,0,0,45,083,023202,2,0,0,0,4.5083E+15,450830232022,73,75,71,74,86,82,64,47,82,59,68,64,81,81,86,82,82,93,89,74,47,91,65,78,71,89,60,73,60,58,29,79,90,65,20,79,67,75,69,52,92,87,58,30,96,45,64,53,87,8,73 %ile,75 %ile,71 %ile,74 %ile,86 %ile,82 %ile,64 %ile,47 %ile,82 %ile,59 %ile,68 %ile,64 %ile,81 %ile,81 %ile,86 %ile,82 %ile,82 %ile,93 %ile,89 %ile,74 %ile,47 %ile,91 %ile,65 %ile,78 %ile,71 %ile,89 %ile,60 %ile,73 %ile,60 %ile,58 %ile,29 %ile,79 %ile,90 %ile,65 %ile,20 %ile,79 %ile,75 %ile,69 %ile,52 %ile,92 %ile,87 %ile,58 %ile,30 %ile,96 %ile,45 %ile,64 %ile,53 %ile,87 %ile,450830232022,South Carolina,SC,Spartanburg County,4,1080,1080,755,478,478,600,0.36712963,0.181690568,447,0.413888889,346,0.32037037,9,0.015,32,0.066945607,211,0.279470199,70,0.064814815,92,0.085185185,0.226666667,8.779627945,65.13028,0.302502449,30,0.5,5601.758457,104.0687975,35,0.073221757,0.692464135,0.148615536,1.213641815,1.436769283,0.329377634,24.59768521,12.17326806,27.53472225,13.6267926,25.33194447,12.53664919,19.09074076,9.447909536,33.77592596,16.71553226,31.94027781,15.80707942,21.29351854,10.53805294,11.0138889,5.45071704,35.24444448,17.44229453,16.52083335,8.17607556,23.49629632,11.62819635,19.45787039,9.629600104,31.94027781,15.80707942,7,8,7,6,3,8,10,7,3,8,7,8,7,6,10,9,6,4,11,5,7,6,9,8,9,8,9,8,9,8,9,9,10,9,9,7,8,5,5,9,10,6,7,7,8,7,8,9,9,67 %ile,21250717,90943,0,2,4,1-13 EJ Indexes over 80th %tile,0,2
5,1,19,5036,C,Custom Power,Cell Assemblies/ Groupings,Packs,custompower.com,10910 Talbert Ave.,Fountain Valley,CA,92708,800-896-5059,33.70159922,-117.9382855,33.70159922,-117.9382855,75, , ,06,059,06059,06,059,099229,4,060590992294,1500000US060590992294,Block Group 4,G5030,S,2884254,0,+33.7017377,-117.9366710,1719,"Block Group 4; Census Tract 992.29; Orange County; California""",1261,653,0,0,364,0,0,0,493,768,0,0,0,0,0,0,87,0,0,06,059,099229,4,0,0,0,6.0591E+14,060590992294,88,78,82,82,67,86,88,51,74,79,90,76,90,90,79,84,83,65,86,89,40,74,78,91,76,91,75,75,74,66,0,96,52,0,88,12,88,59,73,52,31,74,92,24,51,64,98,59,93,7,88 %ile,78 %ile,82 %ile,82 %ile,67 %ile,86 %ile,88 %ile,51 %ile,74 %ile,79 %ile,90 %ile,76 %ile,90 %ile,90 %ile,79 %ile,84 %ile,83 %ile,65 %ile,86 %ile,89 %ile,40 %ile,74 %ile,78 %ile,91 %ile,76 %ile,91 %ile,75 %ile,75 %ile,74 %ile,66 %ile,0 %ile,96 %ile,52 %ile,0 %ile,88 %ile,12 %ile,59 %ile,73 %ile,52 %ile,31 %ile,74 %ile,92 %ile,24 %ile,51 %ile,64 %ile,98 %ile,59 %ile,93 %ile,060590992294,California,CA,Orange County,9,1440,1440,1109,652,667,684,0.505208333,0.187721256,913,0.634027778,542,0.376388889,0,0,213,0.326687117,94,0.084761046,0,0,419,0.290972222,0.150769231,9.834380274,62.34882,0.326021965,30,0.3,2169.674766,640.8524294,27,0.04047976,0.063247757,0.259312754,16.16424511,2.026372896,2.307363936,44.4583333,16.51947053,29.80729165,11.0755541,36.88020831,13.70365169,26.27083332,9.761505312,15.66145832,5.819358936,37.38541664,13.89137294,46.47916664,17.27035555,12.12499999,4.505310144,25.76562498,9.573784056,32.33333331,12.01416038,49.51041663,18.39668309,29.80729165,11.0755541,46.98437497,17.45807681,8,8,8,7,1,11,6,1,9,2,9,6,8,6,4,8,10,3,6,7,11,6,10,9,10,8,8,9,9,9,9,7,7,9,9,9,9,6,5,8,8,8,8,10,10,8,8,10,10,88 %ile,2884254,0,0,2,7,1-13 EJ Indexes over 80th %tile,2,3
6,1,25,5067,C,Rawsonville Components Plant,Cell Assemblies/ Groupings,Packs,corporate.ford.com,10300 Textile Road,Ypsilanti,MI,48197,734-484-8626,42.20282115,-83.55756164,42.20282115,-83.55756164, , , ,26,161,26161,26,161,413200,3,261614132003,1500000US261614132003,Block Group 3,G5030,S,7112038,180645,+42.1883956,-083.5551956,175,"Block Group 3; Census Tract 4132; Washtenaw County; Michigan""",1665,1244,120,0,0,0,0,0,936,729,0,0,0,0,0,0,180,0,0,26,161,413200,3,0,0,0,2.61614E+15,261614132003,84,62,63,43,28,89,35,73,57,54,70,79,80,89,64,67,44,27,92,32,73,58,54,76,83,84,73,80,58,86,52,85,67,72,11,51,78,36,39,5,4,87,15,49,30,29,52,68,64,4,84 %ile,62 %ile,63 %ile,43 %ile,28 %ile,89 %ile,35 %ile,73 %ile,57 %ile,54 %ile,70 %ile,79 %ile,80 %ile,89 %ile,64 %ile,67 %ile,44 %ile,27 %ile,92 %ile,32 %ile,73 %ile,58 %ile,54 %ile,76 %ile,83 %ile,84 %ile,73 %ile,80 %ile,58 %ile,86 %ile,52 %ile,85 %ile,67 %ile,72 %ile,11 %ile,51 %ile,36 %ile,39 %ile,5 %ile,4 %ile,87 %ile,15 %ile,49 %ile,30 %ile,29 %ile,52 %ile,68 %ile,64 %ile,261614132003,Michigan,MI,Washtenaw County,5,1548,1548,896,501,501,729,0.485142119,0.207986066,619,0.399870801,883,0.570413437,30,0.041152263,51,0.101796407,118,0.131696429,115,0.074289406,90,0.058139535,0.194871795,9.241744384,59.52746,0.178491467,20,0.2,5429.398302,8.682093048,105,0.209580838,0.032323208,0.098953412,0.579846818,3.166162716,0.006419052,37.84108528,16.22291315,17.46511628,7.487498376,18.92054264,8.111456574,2.425710595,1.03993033,1.940568476,0.831944264,42.20736435,18.09478774,7.277131785,3.11979099,23.77196383,10.19131723,14.55426357,6.23958198,14.06912145,6.031595914,25.22739019,10.81527543,32.98966409,14.14305249,31.04909562,13.31110822,8,9,6,9,6,9,7,8,2,6,8,4,4,1,1,9,2,5,4,3,6,7,7,9,9,7,7,7,7,5,5,3,3,9,10,4,4,8,8,6,6,6,6,8,8,8,9,9,9,78 %ile,7112038,180645,0,0,3,1-13 EJ Indexes over 80th %tile,0,1
7,1,28,5073,C,Corporate and Manufacturing HQ,Non-cell Components,Thermal Systems,hotstart.com,5723 E. Alki,Spokane,WA,99212,509-534-6171,47.66255359,-117.3274365,47.66255359,-117.3274365,180, , ,53,063,53063,53,063,012200,1,530630122001,1500000US530630122001,Block Group 1,G5030,S,9203460,218180,+47.6700064,-117.3233788,265,"Block Group 1; Census Tract 122; Spokane County; Washington""",1023,865,0,46,0,0,0,0,496,527,0,0,0,0,0,0,29,0,0,53,063,012200,1,0,0,0,5.3063E+15,530630122001,74,20,77,73,80,65,75,80,81,80,75,73,69,86,19,90,85,89,77,89,90,93,91,88,84,81,59,78,38,81,85,0,72,53,39,75,73,10,87,52,70,53,84,86,96,95,83,74,61,11,74 %ile,20 %ile,77 %ile,73 %ile,80 %ile,65 %ile,75 %ile,80 %ile,81 %ile,80 %ile,75 %ile,73 %ile,69 %ile,86 %ile,19 %ile,90 %ile,85 %ile,89 %ile,77 %ile,89 %ile,90 %ile,93 %ile,91 %ile,88 %ile,84 %ile,81 %ile,59 %ile,78 %ile,38 %ile,81 %ile,85 %ile,0 %ile,72 %ile,53 %ile,39 %ile,75 %ile,10 %ile,87 %ile,52 %ile,70 %ile,53 %ile,84 %ile,86 %ile,96 %ile,95 %ile,83 %ile,74 %ile,61 %ile,530630122001,Washington,WA,Spokane County,10,923,923,573,388,488,449,0.354279523,0.199365509,185,0.200433369,469,0.508125677,51,0.113585746,0,0,88,0.153577661,48,0.052004334,120,0.130010834,0.221538462,9.007708548,55.57005,0.446096054,30,0.4,744.2078774,325.2230699,340,0.696721312,0.724841142,1.911794889,3.35375929,4.346898486,0.004665052,25.86240518,14.55368216,3.54279523,1.99365509,30.8223185,17.34479928,18.4225352,10.36700647,24.79956661,13.95558563,18.77681472,10.56637198,29.75947993,16.74670276,30.46803898,17.14543377,34.01083421,19.13908886,33.65655469,18.93972336,29.40520041,16.54733725,26.2166847,14.75304767,21.6110509,12.16129605,6,8,4,9,9,1,8,6,4,8,8,2,9,6,8,6,9,9,11,11,9,8,7,8,9,3,2,8,10,8,9,9,9,7,8,8,9,9,10,9,10,9,10,8,9,8,9,7,9,73 %ile,9203460,218180,1,2,4,1-13 EJ Indexes over 80th %tile,0,4
8,1,29,5074,PC-SU, ,Non-cell Components,Thermal Systems,hyliion.com,"1202 BMC Drive, Suite 100",Cedar Park,TX,78613,833-495-4466,30.49997178,-97.79959079,30.49997178,-97.79959079, , , ,48,491,48491,48,491,020347,1,484910203471,1500000US484910203471,Block Group 1,G5030,S,3110167,34693,+30.5026709,-097.7977517,109,"Block Group 1; Census Tract 203.47; Williamson County; Texas""",543,435,108,0,0,0,0,0,171,372,0,0,0,0,0,0,0,0,0,48,491,020347,1,0,0,0,4.8491E+15,484910203471,86,80,69,43,66,16,74,0,43,55,60,71,81,91,86,75,44,68,12,80,0,39,55,63,74,85,73,80,72,65,83,93,69,0,0,,84,67,49,5,31,6,61,0,19,30,37,52,67,4,86 %ile,80 %ile,69 %ile,43 %ile,66 %ile,16 %ile,74 %ile,0 %ile,43 %ile,55 %ile,60 %ile,71 %ile,81 %ile,91 %ile,86 %ile,75 %ile,44 %ile,68 %ile,12 %ile,80 %ile,0 %ile,39 %ile,55 %ile,63 %ile,74 %ile,85 %ile,73 %ile,80 %ile,72 %ile,65 %ile,83 %ile,93 %ile,69 %ile,0 %ile,0 %ile,,67 %ile,49 %ile,5 %ile,31 %ile,6 %ile,61 %ile,0 %ile,19 %ile,30 %ile,37 %ile,52 %ile,67 %ile,484910203471,Texas,TX,Williamson County,6,513,513,315,157,157,269,0.483430799,0.204757032,309,0.602339181,187,0.364522417,29,0.107806691,33,0.210191083,43,0.136507937,0,0,0,0,,9.532407945,63.60162,0.212157761,20,0.3,3.49836,119.4273156,0,0,0.020923221,0.103594811,0.215626512,1.328869781,0.009621825,40.60818712,17.19959069,32.38986353,13.71872114,23.68810915,10.03309457,2.417153995,1.02378516,14.98635477,6.347467992,2.900584794,1.228542192,29.48927874,12.49017895,0,0,9.185185181,3.890383608,14.50292397,6.14271096,17.88693956,7.576010184,25.13840155,10.64736566,32.38986353,13.71872114,8,9,8,7,9,10,7,1,1,,9,7,5,1,4,1,7,1,2,4,4,6,7,9,10,9,9,7,8,5,5,7,7,2,2,8,9,1,1,5,4,6,6,7,7,8,8,9,9,84 %ile,3110166,34693,0,0,3,1-13 EJ Indexes over 80th %tile,0,1
9,1,30,5075,C,Indie Power Systems,Non-cell Components,BMS,indiepowersystems.com,1701 Summit Ave. Suite 2,Plano,TX,75074,317-650-3627,33.01025282,-96.68917846,33.01025282,-96.68917846, , , ,48,085,48085,48,085,031902,2,480850319022,1500000US480850319022,Block Group 2,G5030,S,4031286,0,+33.0111897,-096.6954030,549,"Block Group 2; Census Tract 319.02; Collin County; Texas""",2462,1038,714,10,243,0,0,0,1448,1014,0,0,0,0,0,0,167,0,0,48,085,031902,2,0,0,0,4.8085E+15,480850319022,89,92,84,85,70,70,93,69,62,87,80,88,13,84,88,79,78,60,55,87,51,48,80,73,81,7,81,66,79,71,76,67,59,80,14,38,82,90,70,52,31,38,96,37,30,77,61,81,4,5,89 %ile,92 %ile,84 %ile,85 %ile,70 %ile,70 %ile,93 %ile,69 %ile,62 %ile,87 %ile,80 %ile,88 %ile,13 %ile,84 %ile,88 %ile,79 %ile,78 %ile,60 %ile,55 %ile,87 %ile,51 %ile,48 %ile,80 %ile,73 %ile,81 %ile,7 %ile,81 %ile,66 %ile,79 %ile,71 %ile,76 %ile,67 %ile,59 %ile,80 %ile,14 %ile,38 %ile,90 %ile,70 %ile,52 %ile,31 %ile,38 %ile,96 %ile,37 %ile,30 %ile,77 %ile,61 %ile,81 %ile,4 %ile,480850319022,Texas,TX,Collin County,6,2304,2279,1445,894,935,1276,0.572555009,0.161810088,1686,0.731770833,942,0.413339184,108,0.084639498,23,0.025727069,150,0.103806228,202,0.087673611,155,0.067274306,0.181538462,9.444055507,68.62238,0.309951415,30,0.3,306.4935344,1087.943064,105,0.112299465,0.032614173,0.525137885,1.030219938,6.076447944,1.40898E-07,46.94951074,13.26842722,51.52995081,14.56290792,40.07885063,11.32670616,29.77286047,8.414124576,17.74920528,5.016112728,21.75709034,6.148783344,54.96528086,15.53376845,21.18453533,5.986973256,17.17665027,4.85430264,44.08673569,12.45937678,34.92585555,9.870415368,46.37695573,13.10661713,2.290220036,0.647240352,9,7,8,8,8,7,6,9,2,4,9,10,8,6,4,4,11,4,4,8,7,9,1,9,9,10,9,9,8,9,8,8,7,8,6,10,9,7,6,7,5,9,9,9,8,9,9,2,1,82 %ile,4031286,0,0,0,8,1-13 EJ Indexes over 80th %tile,2,0
10,1,32,5077,C,Kautex,Non-cell Components,Packaging Systems,www.kautex.com,750 Stevenson Hwy #200,Troy,MI,48083,248-616-5100,42.32,-83.07,42.32,-83.07,900, , ,26,163,26163,26,163,985300,1,261639853001,1500000US261639853001,Block Group 1,G5030,S,1081123,403980,+42.3203926,-083.0701382,1490,"Block Group 1; Census Tract 9853; Wayne County; Michigan""",193,119,64,0,0,0,0,0,127,66,0,0,0,0,0,0,24,0,0,26,163,985300,1,0,0,0,2.6164E+15,261639853001,86,73,78,41,26,85,78,84,63,72,76,85,52,89,75,81,38,24,86,81,85,63,72,79,87,46,66,66,66,61,56,81,79,0,0,,97,60,76,5,4,86,79,88,43,61,72,99,31,6,86 %ile,73 %ile,78 %ile,41 %ile,26 %ile,85 %ile,78 %ile,84 %ile,63 %ile,72 %ile,76 %ile,85 %ile,52 %ile,89 %ile,75 %ile,81 %ile,38 %ile,24 %ile,86 %ile,81 %ile,85 %ile,63 %ile,72 %ile,79 %ile,87 %ile,46 %ile,66 %ile,66 %ile,66 %ile,61 %ile,56 %ile,81 %ile,79 %ile,0 %ile,0 %ile,,60 %ile,76 %ile,5 %ile,4 %ile,86 %ile,79 %ile,88 %ile,43 %ile,61 %ile,72 %ile,99 %ile,31 %ile,261639853001,Michigan,MI,Wayne County,5,173,173,146,153,190,151,0.419075145,0.162690239,86,0.497109827,59,0.341040462,7,0.046357616,12,0.078431373,27,0.184931507,0,0,0,0,,10.65173589,62.55743,0.347612366,20,0.2,5287.455592,243.5392431,142,0.747368421,0.050189833,0.224658216,1.896078185,38.26783569,0.000111394,40.65028907,15.78095318,25.1445087,9.76141434,31.84971102,12.36445816,2.095375725,0.813451195,1.67630058,0.650760956,36.04046247,13.99136055,33.10693646,12.85252888,36.87861276,14.31674103,18.02023124,6.995680277,25.56358385,9.924104579,30.17341044,11.71369721,41.48843936,16.10633366,12.9913295,5.043397409,7,7,7,7,6,9,8,1,1,,11,7,8,1,1,9,8,9,5,7,8,11,4,9,9,8,8,8,9,5,4,3,3,9,9,8,9,9,9,7,7,8,8,8,8,9,9,6,5,97 %ile,1081123,403980,0,0,4,1-13 EJ Indexes over 80th %tile,0,0
