,scenarioID,mineLi,refineLi,mineGr,battPack,use_placeholder,recycle,liSource,lat1,lon1,lat2,lon2,lat4,lon4,lat5,lon5,lat6,lon6,lat3,lon3,trans1,trans2,trans3,trans4,trans5,transdist (m),cradel2gate_transdist
0,0,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Coosa Graphite Project,American Battery Factory,use,Li Solutions,brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,32.086311,-110.948997,30.8940,-102.8793,37.2016027727196,-80.4127309426384,32.8896755477959,-86.2203335223391,3879.0917000000004,3174.9592000000002,896.5446,2463.5798999999997,2646.5418999999997,13060.7173,10597.1374
1,1,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Coosa Graphite Project,American Battery Factory,use,"Fernley, NV",brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,32.086311,-110.948997,30.8940,-102.8793,39.6129533704721,-119.251332273756,32.8896755477959,-86.2203335223391,3879.0917000000004,3174.9592000000002,896.5446,2272.774,2646.5418999999997,12869.9114,10597.1374
2,2,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Coosa Graphite Project,ONE Circle Gigafactory,use,Li Solutions,brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,42.2458674465168,-83.5462543573433,30.8940,-102.8793,37.2016027727196,-80.4127309426384,32.8896755477959,-86.2203335223391,3879.0917000000004,1062.7672,2626.6295,2463.5798999999997,1258.8687,11290.936999999998,8827.357100000001
3,3,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Coosa Graphite Project,ONE Circle Gigafactory,use,"Fernley, NV",brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,42.2458674465168,-83.5462543573433,30.8940,-102.8793,39.6129533704721,-119.251332273756,32.8896755477959,-86.2203335223391,3879.0917000000004,1062.7672,2626.6295,2272.774,1258.8687,11100.131099999999,8827.357100000001
4,4,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Coosa Graphite Project,Colleton County Battery Plant,use,Li Solutions,brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,32.9050067201806,-80.6689646850563,30.8940,-102.8793,37.2016027727196,-80.4127309426384,32.8896755477959,-86.2203335223391,3879.0917000000004,341.6751,2350.6725,2463.5798999999997,661.9136,9696.932799999999,7233.3529
5,5,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Coosa Graphite Project,Colleton County Battery Plant,use,"Fernley, NV",brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,32.9050067201806,-80.6689646850563,30.8940,-102.8793,39.6129533704721,-119.251332273756,32.8896755477959,-86.2203335223391,3879.0917000000004,341.6751,2350.6725,2272.774,661.9136,9506.1269,7233.3529
6,6,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Bama Mine Project,American Battery Factory,use,Li Solutions,brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,32.086311,-110.948997,30.8940,-102.8793,37.2016027727196,-80.4127309426384,32.8404283525322,-86.6323510823482,3879.0917000000004,3174.9592000000002,896.5446,2463.5798999999997,2546.3321,12960.5075,10496.9276
7,7,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Bama Mine Project,American Battery Factory,use,"Fernley, NV",brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,32.086311,-110.948997,30.8940,-102.8793,39.6129533704721,-119.251332273756,32.8404283525322,-86.6323510823482,3879.0917000000004,3174.9592000000002,896.5446,2272.774,2546.3321,12769.7016,10496.9276
8,8,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Bama Mine Project,ONE Circle Gigafactory,use,Li Solutions,brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,42.2458674465168,-83.5462543573433,30.8940,-102.8793,37.2016027727196,-80.4127309426384,32.8404283525322,-86.6323510823482,3879.0917000000004,1062.7672,2626.6295,2463.5798999999997,1235.2225,11267.290799999999,8803.7109
9,9,"Albemarle Corporation, Silver Peak NV","Albemarle - Kings Mountain, NC",Bama Mine Project,ONE Circle Gigafactory,use,"Fernley, NV",brine,37.740208,-117.792319,35.2204657358747,-81.3416526754922,42.2458674465168,-83.5462543573433,30.8940,-102.8793,39.6129533704721,-119.251332273756,32.8404283525322,-86.6323510823482,3879.0917000000004,1062.7672,2626.6295,2272.774,1235.2225,11076.4849,8803.7109
